
'PlayerName','TeamName','OpponentName','GameDate','Position','isStarter','FGM','FGA','FGM2','FGA2','FGM3','FGA3','FTA','FTM','TRB','ORB','DRB','AST','STL','BLK','TOV','TF','PF','MIN','TP','LeagueNameLong'
'A Jenkins','DC Blue Devils','SYF Players','2015-04-24',NULL,NULL,'1','2',NULL,NULL,'0','0','0','0','0',NULL,NULL,'1','1','0','0',NULL,'0',NULL,'2','Under Armour Association 17U'
'A Jenkins','DC Blue Devils','New Heights','2015-04-26',NULL,NULL,'0','1',NULL,NULL,'0','1','0','0','0',NULL,NULL,'0','0','0','0',NULL,'0','2','0','Under Armour Association 17U'
'A Jenkins','DC Blue Devils','Team Superstar','2015-04-25',NULL,NULL,'2','3',NULL,NULL,'2','3','0','0','1',NULL,NULL,'0','1','0','0',NULL,'0','10','6','Under Armour Association 17U'
'A Shivers','DC Premier','Indy Hoosiers','2015-04-26',NULL,NULL,'1','3',NULL,NULL,'0','1','1','0','2',NULL,NULL,'0','0','0','0',NULL,'0','11','2','Under Armour Association 17U'
'A Shivers','DC Premier','Canada Elite','2015-04-24',NULL,NULL,'0','0',NULL,NULL,'0','0','0','0','0',NULL,NULL,'0','0','0','0',NULL,'0','1','0','Under Armour Association 17U'
'A Shivers','DC Premier','Supreme Court','2015-04-25',NULL,NULL,'0','2',NULL,NULL,'0','1','6','4','3',NULL,NULL,'0','0','0','1',NULL,'0',NULL,'4','Under Armour Association 17U'
'A Walker','JUICE ALL-STARS','Louisiana Elite','2015-04-24',NULL,NULL,'5','13',NULL,NULL,'0','3','2','1','4',NULL,NULL,'0','3','0','0',NULL,'0','19','11','Under Armour Association 17U'
'A Walker','JUICE ALL-STARS','Supreme Court','2015-04-25',NULL,NULL,'1','2',NULL,NULL,'1','1','0','0','0',NULL,NULL,'1','0','0','1',NULL,'0',NULL,'3','Under Armour Association 17U'
'A Walker','JUICE ALL-STARS','Earl Watson Elite','2015-04-26',NULL,NULL,'1','5',NULL,NULL,'0','2','4','3','3',NULL,NULL,'3','1','0','2',NULL,'0','0','5','Under Armour Association 17U'
'Aaron Adair','Team Felton','Mo Williams Academy','2015-04-12',NULL,NULL,'0','0',NULL,NULL,'0','0','0','0','0',NULL,NULL,'1','0','0','0',NULL,'0','2','0','Under Armour Association 17U'
'Aaron Adair','Team Felton','Illinois Wolves','2015-04-10',NULL,NULL,'1','2',NULL,NULL,'0','1','2','0','3',NULL,NULL,'1','0','0','2',NULL,'0',NULL,'2','Under Armour Association 17U'
'Aaron Adair','Team Felton','WE R1','2015-04-26',NULL,NULL,'0','1',NULL,NULL,'0','2','2','0','2',NULL,NULL,'0','2','0','3',NULL,'0',NULL,'0','Under Armour Association 17U'
'Aaron Adair','Team Felton','KC RUN GMC','2015-04-24',NULL,NULL,'1','1',NULL,NULL,'0','0','1','0','1',NULL,NULL,'0','1','1','0',NULL,'0','8','2','Under Armour Association 17U'
'Aaron Adair','Team Felton','SYF Players','2015-04-11',NULL,NULL,'1','3',NULL,NULL,'0','0','0','0','3',NULL,NULL,'0','0','0','0',NULL,'1',NULL,'2','Under Armour Association 17U'
'Aaron Augustine','Atlanta Xpress','Canada Elite','2015-04-26',NULL,NULL,'2','3',NULL,NULL,'1','1','0','0','0',NULL,NULL,'0','0','0','0',NULL,'0','14','5','Under Armour Association 17U'
'Aaron Augustine','Atlanta Xpress','Earl Watson Elite','2015-04-10',NULL,NULL,'4','10',NULL,NULL,'0','4','2','2','5',NULL,NULL,'3','3','0','3',NULL,'0',NULL,'10','Under Armour Association 17U'
'Aaron Augustine','Atlanta Xpress','SportsU','2015-04-11',NULL,NULL,'1','3',NULL,NULL,'0','0','0','0','3',NULL,NULL,'5','2','0','2',NULL,'0','0','2','Under Armour Association 17U'
'Aaron Augustine','Atlanta Xpress','Supreme Court','2015-04-24',NULL,NULL,'3','6',NULL,NULL,'0','1','3','2','2',NULL,NULL,'1','1','0','3',NULL,'0','21','8','Under Armour Association 17U'
'Aaron Augustine','Atlanta Xpress','Team Breakdown','2015-04-25',NULL,NULL,'1','4',NULL,NULL,'1','1','0','0','3',NULL,NULL,'0','1','0','2',NULL,'0','20','3','Under Armour Association 17U'
'Aaron Augustine','Atlanta Xpress','Houston Defenders','2015-04-12',NULL,NULL,'2','8',NULL,NULL,'0','1','0','0','4',NULL,NULL,'4','3','1','2',NULL,'0','0','4','Under Armour Association 17U'
'Aaron Cephus','Houston Defenders','Net Gain Sports','2015-04-26',NULL,NULL,'1','4',NULL,NULL,'1','3','0','0','4',NULL,NULL,'0','0','0','1',NULL,'0','10','3','Under Armour Association 17U'
'Aaron Cephus','Houston Defenders','Indy Hoosiers','2015-04-24',NULL,NULL,'0','2',NULL,NULL,'0','1','0','0','0',NULL,NULL,'0','0','0','0',NULL,'0','0','0','Under Armour Association 17U'
'Aaron Cephus','Houston Defenders','Team Thad','2015-04-25',NULL,NULL,'2','4',NULL,NULL,'1','1','4','4','2',NULL,NULL,'0','0','0','1',NULL,'0','8','9','Under Armour Association 17U'
'Adrian Moore','Louisiana Elite','JUICE ALL-STARS','2015-04-24',NULL,NULL,'2','3',NULL,NULL,'0','1','4','3','3',NULL,NULL,'2','0','1','0',NULL,'0','25','7','Under Armour Association 17U'
'Adrian Moore','Louisiana Elite','Team Breakdown','2015-04-26',NULL,NULL,'3','9',NULL,NULL,'0','2','5','5','4',NULL,NULL,'1','1','0','1',NULL,'0','27','11','Under Armour Association 17U'
'Adrian Moore','Louisiana Elite','Team Thad','2015-04-11',NULL,NULL,'3','8',NULL,NULL,'0','3','3','2','1',NULL,NULL,'1','0','0','1',NULL,'4','27','8','Under Armour Association 17U'
'Adrian Moore','Louisiana Elite','DC Premier','2015-04-10',NULL,NULL,'3','7',NULL,NULL,'0','1','3','2','4',NULL,NULL,'2','2','0','4',NULL,'0',NULL,'8','Under Armour Association 17U'
'Adrian Moore','Louisiana Elite','Earl Watson Elite','2015-04-25',NULL,NULL,'0','2',NULL,NULL,'0','1','5','2','3',NULL,NULL,'2','1','0','2',NULL,'0','19','2','Under Armour Association 17U'
'Alani Moore','DC Premier','Indy Hoosiers','2015-04-26',NULL,NULL,'1','6',NULL,NULL,'1','4','0','0','4',NULL,NULL,'1','0','0','2',NULL,'0','26','3','Under Armour Association 17U'
