
'PlayerName','TeamName','OpponentName','GameDate','Position','isStarter','FGM','FGA','FGM2','FGA2','FGM3','FGA3','FTA','FTM','TRB','ORB','DRB','AST','STL','BLK','TOV','TF','PF','MIN','TP','LeagueNameLong'
'Aaron Anderson','Chauncy Billups Elite','DC Thunder','2015-04-11',NULL,NULL,'1','3',NULL,NULL,'0','0','0','0','4','1','3','1','0','0','0',NULL,'3','12','2','adidas Gauntlet Series 17U'
'Aaron Anderson','Chauncy Billups Elite','Howard Elite','2015-04-10',NULL,NULL,'0','2',NULL,NULL,'0','0','0','0','1','0','1','0','0','0','2',NULL,'1','5','0','adidas Gauntlet Series 17U'
'Aaron Anderson','Chauncy Billups Elite','EG10 Central Stars','2015-04-12',NULL,NULL,'1','10',NULL,NULL,'0','1','1','0','6','4','2','0','1','0','1',NULL,'2','21','2','adidas Gauntlet Series 17U'
'Aaron Cain','Team Magic Elite (Memphis)','DC Thunder','2015-04-12',NULL,NULL,'2','3',NULL,NULL,'1','1','0','0','6','0','6','0','1','0','2',NULL,'2','13','5','adidas Gauntlet Series 17U'
'Aaron Cain','Team Magic Elite (Memphis)','Mass Rivals','2015-04-11',NULL,NULL,'0','1',NULL,NULL,'0','0','0','0','0','0','0','0','0','0','0',NULL,'0','10','0','adidas Gauntlet Series 17U'
'Aaron Cain','Team Magic Elite (Memphis)','Texas P.R.O.','2015-04-10',NULL,NULL,'1','2',NULL,NULL,'1','2','0','0','3','0','0','0','1','0','0',NULL,'6','9','3','adidas Gauntlet Series 17U'
'Aaron Godfrey','Team Loaded North Carolina','NY Rens','2015-04-11',NULL,NULL,'2','4',NULL,NULL,'2','4','2','1','4','2','2','0','1','0','0',NULL,'0','8','7','adidas Gauntlet Series 17U'
'Aaron Godfrey','Team Loaded North Carolina','Atlanta Celtics','2015-04-10',NULL,NULL,'0','0',NULL,NULL,'0','0','0','0','0','1','0','0','0','0','0',NULL,'0','10','0','adidas Gauntlet Series 17U'
'Aaron Godfrey','Team Loaded North Carolina','MBA Hoops','2015-04-12',NULL,NULL,'2','3',NULL,NULL,'2','3','0','0','1','0','1','0','1','0','1',NULL,'1','6','6','adidas Gauntlet Series 17U'
'Aboubacar Diallo','Gateway Basketball Club','Southeast Elite','2015-04-26',NULL,NULL,'1','6',NULL,NULL,'0','0','2','0','9','0','0','2','0','3','3',NULL,'1','24','2','adidas Gauntlet Series 17U'
'Aboubacar Diallo','Gateway Basketball Club','D1 Minnesota','2015-04-25',NULL,NULL,'0','2',NULL,NULL,'0','0','0','0','0','0','0','1','1','0','1',NULL,'4','6','0','adidas Gauntlet Series 17U'
'Adam Mennemeyer','Gateway Basketball Club','Southeast Elite','2015-04-26',NULL,NULL,'0','3',NULL,NULL,'0','3','0','0','1','0','0','1','0','0','0',NULL,'1','4','0','adidas Gauntlet Series 17U'
'Adam Mennemeyer','Gateway Basketball Club','Team Wall','2015-04-11',NULL,NULL,'0','1',NULL,NULL,'0','1','0','0','0','0','0','0','0','0','1',NULL,'1','4','0','adidas Gauntlet Series 17U'
'Adam Mennemeyer','Gateway Basketball Club','D1 Minnesota','2015-04-25',NULL,NULL,'0','0',NULL,NULL,'0','0','0','0','1','0','1','0','0','0','0',NULL,'0','1','0','adidas Gauntlet Series 17U'
'Ade Lamu','D1 Minnesota','Team Bayless','2015-04-12',NULL,NULL,'5','7',NULL,NULL,'0','0','4','3','5','2','3','2','3','2','3',NULL,'5','20','13','adidas Gauntlet Series 17U'
'Ade Lamu','D1 Minnesota','Gateway Basketball Club','2015-04-25',NULL,NULL,'1','5',NULL,NULL,'0','0','11','9','5','2','3','2','2','0','1',NULL,'3','22','11','adidas Gauntlet Series 17U'
'Ade Lamu','D1 Minnesota','DC Thunder','2015-04-10',NULL,NULL,'2','3',NULL,NULL,'0','0','5','5','4','0','4','2','3','0','2',NULL,'4','32','9','adidas Gauntlet Series 17U'
'Ade Lamu','D1 Minnesota','Howard Elite','2015-04-11',NULL,NULL,'3','4',NULL,NULL,'0','0','4','2','4','0','4','4','1','0','2',NULL,'4','23','8','adidas Gauntlet Series 17U'
'Adrio Bailey','Lone Star Elite','EG10 Central Stars','2015-04-11',NULL,NULL,'3','6',NULL,NULL,'0','0','0','0','5','1','4','0','1','1','2',NULL,'3','13','6','adidas Gauntlet Series 17U'
'Adrio Bailey','Lone Star Elite','Wisconsin Playground Warriors','2015-04-12',NULL,NULL,'2','4',NULL,NULL,'0','0','4','2','7','0','7','3','2','2','0',NULL,'0','11','6','adidas Gauntlet Series 17U'
