Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Kyle Steward,Start Game,,,,,0 Doniel Dean,Start Game,
4 Derrick Byrd,Start Game,,,,,1 Taquan Givens,Start Game,
5 Robert Joiner,Start Game,,,,,2 Montrel Goldston,Start Game,
21 Jacolby Harris,Start Game,,,,,4 Quay Fergerson,Start Game,
23 Lamar Wofford,Start Game,,,,,3 Denzel Council,Start Game,
2 Caelan Neal,Entered Game,,,1 - 20:00,,Quay Fergerson,Left the Game,Donovan Harris Entered the Game
4 Derrick Byrd,Entered Game,,,1 - 20:00,,Donovan Harris,Left the Game,Paris Ballinger Entered the Game
5 Robert Joiner,Entered Game,,,1 - 20:00,,Paris Ballinger,Left the Game,Donovan Harris Entered the Game
21 Jacolby Harris,Entered Game,Kyle Steward Jump Ball Lost,,1 - 19:59,,Donovan Harris,Jump Ball Won,
,,Robert Joiner Defensive Rebound,,1 - 19:55,,Taquan Givens,Field Goal Attempt,
Derrick Byrd,Turnover,,,1 - 19:47,,,,
,,,,1 - 19:47,,Doniel Dean,Steal,
,,Robert Joiner Defensive Rebound,,1 - 19:30,,Denzel Council,Three Point Attempt,
Lamar Wofford,Turnover,,,1 - 19:06,,,,
,,,,1 - 19:06,,Montrel Goldston,Steal,
,,Derrick Byrd Defensive Rebound,,1 - 18:45,,Taquan Givens,Field Goal Attempt,
,,,,1 - 18:40,,Taquan Givens,Defensive Foul,
Kyle Steward,Free Throw Attempt,Butler CC Offensive Rebound,,1 - 18:40,,,,
Kyle Steward,Free Throw Made,,1-0,1 - 18:40,1 (L1),,,
,,Lamar Wofford Defensive Rebound,,1 - 18:30,,Montrel Goldston,Field Goal Attempt,
Robert Joiner,Field Goal Attempt,,,1 - 18:23,,,,
,,,,1 - 18:20,,Donovan Harris,Blocked shot,
,,,,1 - 18:18,,Taquan Givens,Defensive Rebound,
,,,,1 - 18:16,,Taquan Givens,Field Goal Attempt,Taquan Givens Offensive Rebound
,,Derrick Byrd Defensive Rebound,,1 - 18:15,,Taquan Givens,Field Goal Attempt,
Derrick Byrd,Turnover,,,1 - 18:11,,,,
,,,,1 - 18:10,,Montrel Goldston,Steal,
,,Derrick Byrd Defensive Rebound,,1 - 17:53,,Taquan Givens,Three Point Attempt,
Jacolby Harris,Field Goal Attempt,Lamar Wofford Offensive Rebound,,1 - 17:48,,,,
Lamar Wofford,Field Goal Made,,3-0,1 - 17:47,3,,,
Derrick Byrd,Defensive Foul,,,1 - 17:42,,,,
Derrick Byrd,Left the Game,,,1 - 17:42,,,,
Robert Joiner,Left the Game,,,1 - 17:42,,,,
Lamar Wofford,Left the Game,Caelan Neal Entered the Game,,1 - 17:42,,,,
Chris Howell,Entered the Game,,,1 - 17:42,,,,
Reed Rowell,Entered the Game,,,1 - 17:42,,,,
,,,,1 - 17:42,,Taquan Givens,Left the Game,
,,,,1 - 17:42,,Donovan Harris,Left the Game,Terrence Thompson Entered the Game
,,,,1 - 17:42,,Ty Toney,Entered the Game,
,,,,1 - 17:42,,Montrel Goldston,Free Throw Attempt,Georgia Highlands Offensive Rebound
,,,3-1,1 - 17:42,2,Montrel Goldston,Free Throw Made,
Kyle Steward,Turnover,,,1 - 17:33,,,,
,,,,1 - 17:07,,Ty Toney,Turnover,
Jacolby Harris,Steal,,,1 - 17:06,,,,
,,,,1 - 16:53,,Doniel Dean,Left the Game,Taquan Givens Entered the Game
Caelan Neal,Turnover,,,1 - 16:41,,,,
,,,,1 - 16:40,,Ty Toney,Steal,
,,,3-3,1 - 16:37,(T1),Ty Toney,Field Goal Made,
,,,,1 - 16:37,,Denzel Council,Assist,
,,,,1 - 16:37,,Taquan Givens,Left the Game,
,,,,1 - 16:37,,Montrel Goldston,Left the Game,
,,,,1 - 16:37,,Denzel Council,Left the Game,
,,,,1 - 16:37,,Terrence Thompson,Left the Game,
,,,,1 - 16:37,,Ty Toney,Left the Game,Doniel Dean Entered the Game
,,,,1 - 16:37,,Terrence Thompson,Entered the Game,
,,,,1 - 16:37,,Taquan Givens,Entered the Game,
,,,,1 - 16:37,,Ty Toney,Entered the Game,
,,,,1 - 16:37,,Denzel Council,Entered the Game,
Kyle Steward,Left the Game,,,1 - 16:37,,,,
Caelan Neal,Left the Game,,,1 - 16:37,,,,
Chris Howell,Left the Game,,,1 - 16:37,,,,
Jacolby Harris,Left the Game,,,1 - 16:37,,,,
Reed Rowell,Left the Game,Chris Howell Entered the Game,,1 - 16:37,,,,
Robert Joiner,Entered the Game,,,1 - 16:37,,,,
Reed Rowell,Entered the Game,,,1 - 16:37,,,,
Robert Joiner,Left the Game,Travis House Entered the Game,,1 - 16:37,,,,
Caelan Neal,Entered the Game,,,1 - 16:37,,,,
Jacolby Harris,Entered the Game,,,1 - 16:37,,,,
Chris Howell,Field Goal Attempt,Travis House Offensive Rebound,,1 - 16:13,,,,
Travis House,Field Goal Made,,5-3,1 - 16:13,2 (L2),,,
,,,,1 - 16:13,,Denzel Council,Defensive Foul,
,,,,1 - 16:13,,Denzel Council,Left the Game,Donovan Harris Entered the Game
Travis House,Free Throw Made,,6-3,1 - 16:13,3,,,
Travis House,Defensive Foul,,,1 - 16:10,,,,
,,,,1 - 16:10,,Ty Toney,Left the Game,Paris Ballinger Entered the Game
Reed Rowell,Defensive Foul,,,1 - 15:57,,,,
,,,,1 - 15:57,,Donovan Harris,Free Throw Attempt,Georgia Highlands Offensive Rebound
,,,6-4,1 - 15:57,2,Donovan Harris,Free Throw Made,
Reed Rowell,Turnover,,,1 - 15:48,,,,
,,,,1 - 15:46,,Terrence Thompson,Left the Game,Montrel Goldston Entered the Game
Jacolby Harris,Left the Game,Damien Akao Entered the Game,,1 - 15:46,,,,
,,,6-7,1 - 15:33,-1 (L3),Taquan Givens,Three Point Made,
Chris Howell,Turnover,,,1 - 15:27,,,,
,,,,1 - 15:27,,Doniel Dean,Left the Game,Ty Toney Entered the Game
