Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
2 Arlando Cook,Start Game,,,,,0 Jerron Martin,Start Game,
3 Ronnie Boyce,Start Game,,,,,1 Andre Spight,Start Game,
4 Corlbe Evin,Start Game,,,,,4 David Kadiri,Start Game,
15 Phabian Glasco,Start Game,,,,,15 Emmanuel Omogbo,Start Game,
23 Devin Simms,Start Game,,,,,22 Brandon Neel,Start Game,
,,Phabian Glasco Jump Ball Lost,,1 - 19:58,,0 Jerron Martin,Entered Game,
,,Arlando Cook Defensive Rebound,,1 - 19:45,,1 Andre Spight,Entered Game,
Phabian Glasco,Field Goal Made,,2-0,1 - 19:31,2 (L1),4 David Kadiri,Entered Game,
Ronnie Boyce,Assist,,,1 - 19:30,,15 Emmanuel Omogbo,Entered Game,
2 Arlando Cook,Entered Game,Corlbe Evin Defensive Rebound,,1 - 19:16,,Brandon Neel,Field Goal Attempt,
Devin Simms,Field Goal Attempt,,,1 - 19:06,,,,Andre Spight Defensive Rebound
,,,,1 - 18:52,,Jerron Martin,Three Point Attempt,Brandon Neel Offensive Rebound
,,,,1 - 18:49,,Brandon Neel,Turnover,
Corlbe Evin,Steal,,,1 - 18:48,,,,
Corlbe Evin,Field Goal Attempt,Phabian Glasco Offensive Rebound,,1 - 18:44,,,,
Phabian Glasco,Field Goal Attempt,Arlando Cook Offensive Rebound,,1 - 18:41,,,,
Arlando Cook,Field Goal Attempt,,,1 - 18:38,,,,
,,,,1 - 18:38,,David Kadiri,Blocked shot,
,,,,1 - 18:37,,Andre Spight,Defensive Rebound,
,,,2-2,1 - 18:30,(T1),David Kadiri,Field Goal Made,
,,,,1 - 18:29,,Jerron Martin,Assist,
,,,,1 - 18:08,,Brandon Neel,Defensive Foul,
Arlando Cook,Free Throw Made,,3-2,1 - 18:08,1 (L2),,,
Arlando Cook,Free Throw Made,,4-2,1 - 18:08,2,,,
Arlando Cook,Defensive Foul,,,1 - 17:52,,,,
,,,4-3,1 - 17:52,1,David Kadiri,Free Throw Made,
,,Phabian Glasco Defensive Rebound,,1 - 17:52,,David Kadiri,Free Throw Attempt,
Arlando Cook,Field Goal Attempt,,,1 - 17:30,,,,Emmanuel Omogbo Defensive Rebound
,,,4-6,1 - 17:23,-2 (L3),Andre Spight,Three Point Made,
,,,,1 - 17:23,,Jerron Martin,Assist,
Ronnie Boyce,Three Point Attempt,,,1 - 17:05,,,,David Kadiri Defensive Rebound
,,,,1 - 16:46,,Emmanuel Omogbo,Turnover,
Phabian Glasco,Steal,,,1 - 16:45,,,,
Devin Simms,Field Goal Attempt,Devin Simms Offensive Rebound,,1 - 16:39,,,,
Devin Simms,Field Goal Attempt,,,1 - 16:35,,,,Emmanuel Omogbo Defensive Rebound
,,Ronnie Boyce Defensive Rebound,,1 - 16:14,,David Kadiri,Field Goal Attempt,
Ronnie Boyce,Field Goal Attempt,Ronnie Boyce Offensive Rebound,,1 - 16:07,,,,
Ronnie Boyce,Field Goal Made,,6-6,1 - 16:05,(T2),,,
,,,,1 - 16:01,,Jerron Martin,Left the Game,
,,,,1 - 16:01,,Andre Spight,Left the Game,
,,,,1 - 16:01,,David Kadiri,Left the Game,
,,,,1 - 16:01,,Emmanuel Omogbo,Left the Game,
,,,,1 - 16:01,,Brandon Neel,Left the Game,Marlon Jones Entered the Game
,,,,1 - 16:01,,Jerron Martin,Entered the Game,
,,,,1 - 16:01,,Andre Spight,Entered the Game,
,,,,1 - 16:01,,David Kadiri,Entered the Game,
,,,,1 - 16:01,,Brandon Neel,Entered the Game,
,,,6-8,1 - 15:41,-2 (L4),Andre Spight,Field Goal Made,
Corlbe Evin,Field Goal Attempt,,,1 - 15:23,,,,David Kadiri Defensive Rebound
,,,6-11,1 - 15:14,-5,Jerron Martin,Three Point Made,
Phabian Glasco,Field Goal Made,,8-11,1 - 14:53,-3,,,
Corlbe Evin,Assist,,,1 - 14:52,,,,
,,Phabian Glasco Defensive Rebound,,1 - 14:32,,Andre Spight,Field Goal Attempt,
,,,,1 - 14:26,,Marlon Jones,Defensive Foul,
,,,,1 - 14:26,,Brandon Neel,Left the Game,Pat Birt Entered the Game
Devin Simms,Free Throw Made,,9-11,1 - 14:26,-2,,,
Devin Simms,Free Throw Made,,10-11,1 - 14:26,-1,,,
,,,10-13,1 - 14:07,-3,David Kadiri,Field Goal Made,
,,,,1 - 14:07,,Marlon Jones,Assist,
Ronnie Boyce,Field Goal Attempt,Ronnie Boyce Offensive Rebound,,1 - 13:52,,,,
Ronnie Boyce,Field Goal Attempt,,,1 - 13:51,,,,
,,,,1 - 13:51,,Pat Birt,Blocked shot,
,,,,1 - 13:51,,David Kadiri,Left the Game,Emmanuel Omogbo Entered the Game
Ronnie Boyce,Field Goal Made,,12-13,1 - 13:51,-1,,,
Corlbe Evin,Assist,,,1 - 13:51,,,,
,,Devin Simms Defensive Rebound,,1 - 13:30,,Andre Spight,Three Point Attempt,
Ronnie Boyce,Three Point Attempt,,,1 - 13:22,,,,South Plains Defensive Rebound
,,,,1 - 13:04,,Pat Birt,Field Goal Attempt,South Plains Offensive Rebound
,,,,1 - 13:03,,Andre Spight,Left the Game,Andre Horne Entered the Game
,,,12-16,1 - 12:55,-4,Pat Birt,Three Point Made,
,,,,1 - 12:54,,Jerron Martin,Assist,
Corlbe Evin,Field Goal Attempt,,,1 - 12:38,,,,Pat Birt Defensive Rebound
,,,12-18,1 - 12:28,-6,Marlon Jones,Field Goal Made,
,,,,1 - 12:27,,Jerron Martin,Assist,
Phabian Glasco,Field Goal Made,,14-18,1 - 12:12,-4,,,
Ronnie Boyce,Assist,,,1 - 12:12,,,,
Devin Simms,Left the Game,Damari Edwards Entered the Game,,1 - 12:11,,,,
,,,14-21,1 - 11:57,-7,Pat Birt,Three Point Made,
Ronnie Boyce,Three Point Attempt,,,1 - 11:35,,,,Pat Birt Defensive Rebound
,,,,1 - 11:31,,Pat Birt,Turnover,
Damari Edwards,Steal,,,1 - 11:30,,,,
Corlbe Evin,Offensive Foul,,,1 - 11:29,,,,
Corlbe Evin,Turnover,,,1 - 11:29,,,,
,,,,1 - 11:29,,Marlon Jones,Charge,
Ronnie Boyce,Left the Game,Devin Simms Entered the Game,,1 - 11:29,,,,
,,,14-23,1 - 11:16,-9,Emmanuel Omogbo,Field Goal Made,
,,,,1 - 11:16,,Andre Horne,Assist,
,,,,1 - 11:02,,Marlon Jones,Defensive Foul,
,,,,1 - 11:02,,Marlon Jones,Left the Game,Brandon Neel Entered the Game
Devin Simms,Field Goal Made,,16-23,1 - 11:01,-7,,,
Corlbe Evin,Assist,,,1 - 11:00,,,,
Damari Edwards,Defensive Foul,,,1 - 10:50,,,,
,,,,1 - 10:38,,Jerron Martin,Three Point Attempt,South Plains Offensive Rebound
Phabian Glasco,Defensive Foul,,,1 - 10:38,,,,
