Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
2 Arlando Cook,Start Game,,,,,3 Dominique Shaw,Start Game,
3 Ronnie Boyce,Start Game,,,,,11 Faith Pope,Start Game,
4 Corlbe Erving,Start Game,,,,,12 Ronnie Stacy,Start Game,
15 Phabian Glasco,Start Game,,,,,33 Dale Jones,Start Game,
23 Devin Simms,Start Game,,,,,44 Ikenna Okwarabizie,Start Game,
Phabian Glasco,Jump Ball Won,,,1 - 19:59,,3 Dominique Shaw,Entered Game,Faith Pope Jump Ball Lost
Arlando Cook,Turnover,,,1 - 19:51,,11 Faith Pope,Entered Game,
,,,,1 - 19:51,,12 Ronnie Stacy,Entered Game,
,,Phabian Glasco Defensive Rebound,,1 - 19:31,,33 Dale Jones,Entered Game,
Corlbe Erving,Turnover,,,1 - 19:27,,,,
,,,,1 - 19:15,,Ronnie Stacy,Turnover,
Phabian Glasco,Field Goal Made,,2-0,1 - 19:03,2 (L1),,,
,,,2-2,1 - 18:50,(T1),Dominique Shaw,Field Goal Made,
Corlbe Erving,Field Goal Attempt,,,1 - 18:32,,,,Ikenna Okwarabizie Defensive Rebound
,,Connors State Defensive Rebound,,1 - 18:21,,Dale Jones,Three Point Attempt,
,,,,1 - 18:03,,Dale Jones,Defensive Foul,
Arlando Cook,Free Throw Made,,3-2,1 - 18:03,1 (L2),,,
Arlando Cook,Free Throw Attempt,,,1 - 18:03,,,,Dale Jones Defensive Rebound
,,,,1 - 17:55,,Dale Jones,Offensive Foul,
,,,,1 - 17:55,,Dale Jones,Turnover,
,,,,1 - 17:55,,Dale Jones,Left the Game,Tyler Miller Entered the Game
Ronnie Boyce,Field Goal Made,,5-2,1 - 17:34,3,,,
Corlbe Erving,Assist,,,1 - 17:34,,,,
,,,5-5,1 - 17:16,(T2),Faith Pope,Three Point Made,
,,,,1 - 17:16,,Ronnie Stacy,Assist,
Corlbe Erving,Field Goal Attempt,,,1 - 16:56,,,,
,,,,1 - 16:55,,Faith Pope,Blocked shot,
Ronnie Boyce,Three Point Attempt,Arlando Cook Offensive Rebound,,1 - 16:53,,,,
Arlando Cook,Field Goal Made,,7-5,1 - 16:44,2 (L3),,,
,,Devin Simms Defensive Rebound,,1 - 16:29,,Ikenna Okwarabizie,Field Goal Attempt,
Ronnie Boyce,Field Goal Attempt,,,1 - 16:06,,,,Faith Pope Defensive Rebound
,,Arlando Cook Defensive Rebound,,1 - 15:56,,Dominique Shaw,Field Goal Attempt,
Corlbe Erving,Field Goal Attempt,Arlando Cook Offensive Rebound,,1 - 15:46,,,,
Arlando Cook,Field Goal Attempt,,,1 - 15:43,,,,Tyler Miller Defensive Rebound
,,,,1 - 15:27,,Ronnie Stacy,Field Goal Attempt,Ronnie Stacy Offensive Rebound
,,,7-7,1 - 15:25,(T3),Ronnie Stacy,Field Goal Made,
Ronnie Boyce,Field Goal Made,,9-7,1 - 15:06,2 (L4),,,
,,,,1 - 14:53,,Ikenna Okwarabizie,Field Goal Attempt,Tyler Offensive Rebound
,,,,1 - 14:53,,Ikenna Okwarabizie,Left the Game,John Paul Entered the Game
,,,9-9,1 - 14:49,(T4),Tyler Miller,Field Goal Made,
Phabian Glasco,Field Goal Attempt,,,1 - 14:31,,,,John Paul Defensive Rebound
,,Ronnie Boyce Defensive Rebound,,1 - 14:15,,Dominique Shaw,Field Goal Attempt,
Ronnie Boyce,Three Point Made,,12-9,1 - 14:08,3 (L5),,,
,,,,1 - 13:51,,Faith Pope,Field Goal Attempt,Tyler Offensive Rebound
Arlando Cook,Left the Game,,,1 - 13:50,,,,
Ronnie Boyce,Left the Game,,,1 - 13:50,,,,
Corlbe Erving,Left the Game,,,1 - 13:50,,,,
Phabian Glasco,Left the Game,,,1 - 13:50,,,,
Devin Simms,Left the Game,,,1 - 13:50,,,,
,,,,1 - 13:50,,Dominique Shaw,Left the Game,
,,,,1 - 13:50,,Faith Pope,Left the Game,
,,,,1 - 13:50,,Ronnie Stacy,Left the Game,
,,,,1 - 13:50,,Tyler Miller,Left the Game,
,,,,1 - 13:50,,John Paul,Left the Game,Darryl Stewart Entered the Game
,,,,1 - 13:50,,Faith Pope,Entered the Game,
,,,,1 - 13:50,,Faith Pope,Left the Game,Faith Pope Entered the Game
,,,,1 - 13:50,,Ronnie Stacy,Entered the Game,
,,,,1 - 13:50,,John Paul,Entered the Game,
,,,,1 - 13:50,,Tyler Miller,Entered the Game,
Arlando Cook,Entered the Game,,,1 - 13:50,,,,
Corlbe Erving,Entered the Game,,,1 - 13:50,,,,
Ronnie Boyce,Entered the Game,,,1 - 13:50,,,,
Phabian Glasco,Entered the Game,,,1 - 13:50,,,,
Devin Simms,Entered the Game,,,1 - 13:50,,,,
,,,12-12,1 - 13:29,(T5),Faith Pope,Three Point Made,
,,,,1 - 13:29,,Ronnie Stacy,Assist,
Corlbe Erving,Defensive Foul,,,1 - 13:29,,,,
,,Devin Simms Defensive Rebound,,1 - 13:29,,Faith Pope,Free Throw Attempt,
Corlbe Erving,Three Point Attempt,,,1 - 13:07,,,,Ronnie Stacy Defensive Rebound
,,Corlbe Erving Defensive Rebound,,1 - 12:56,,Darryl Stewart,Field Goal Attempt,
Corlbe Erving,Turnover,,,1 - 12:50,,,,
,,,12-14,1 - 12:26,-2 (L6),Ronnie Stacy,Field Goal Made,
,,,,1 - 12:25,,Darryl Stewart,Assist,
Arlando Cook,Field Goal Made,,14-14,1 - 12:06,(T6),,,
Ronnie Boyce,Assist,,,1 - 12:06,,,,
,,,14-16,1 - 11:51,-2 (L7),Tyler Miller,Field Goal Made,
,,,,1 - 11:51,,Ronnie Stacy,Assist,
Corlbe Erving,Offensive Foul,,,1 - 11:36,,,,
Corlbe Erving,Turnover,,,1 - 11:36,,,,
,,,,1 - 11:36,,Tyler Miller,Charge,
Corlbe Erving,Left the Game,Damari Edwards Entered the Game,,1 - 11:36,,,,
,,Phabian Glasco Defensive Rebound,,1 - 11:20,,John Paul,Field Goal Attempt,
Ronnie Boyce,Field Goal Made,,16-16,1 - 11:12,(T7),,,
,,,16-18,1 - 10:58,-2 (L8),Ronnie Stacy,Field Goal Made,
Ronnie Boyce,Field Goal Attempt,,,1 - 10:38,,,,John Paul Defensive Rebound
,,Phabian Glasco Defensive Rebound,,1 - 10:22,,John Paul,Field Goal Attempt,
,,,,1 - 10:14,,Faith Pope,Defensive Foul,
Devin Simms,Free Throw Made,,17-18,1 - 10:14,-1,,,
Devin Simms,Free Throw Made,,18-18,1 - 10:14,(T8),,,
,,,,1 - 10:06,,John Paul,Left the Game,Ikenna Okwarabizie Entered the Game
Phabian Glasco,Defensive Foul,,,1 - 10:06,,,,
,,,,1 - 10:06,,Ronnie Stacy,Left the Game,Dominique Shaw Entered the Game
,,,18-20,1 - 9:55,-2 (L9),Ikenna Okwarabizie,Field Goal Made,
Arlando Cook,Field Goal Made,,20-20,1 - 9:35,(T9),,,
Ronnie Boyce,Assist,,,1 - 9:35,,,,
Damari Edwards,Defensive Foul,,,1 - 9:25,,,,
