Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
2 Jermohn Queen,Start Game,,,,,3 Marcus Washington,Start Game,
3 Payton Hulsey,Start Game,,,,,4 Daryl Macon,Start Game,
20 Kyle Meyer,Start Game,,,,,11 Torlorf Thomas,Start Game,
24 Demetrius McReynolds,Start Game,,,,,12 Cedric Harper,Start Game,
32 Djordje Beronja,Start Game,,,,,32 Dietrich Taylor,Start Game,
Kyle Meyer,Jump Ball Won,,,1 - 19:58,,4 Daryl Macon,Entered Game,Torlorf Thomas Jump Ball Lost
Payton Hulsey,Field Goal Made,,2-0,1 - 19:42,2 (L1),11 Torlorf Thomas,Entered Game,
Demetrius McReynolds,Assist,,,1 - 19:42,,12 Cedric Harper,Entered Game,
,,,,1 - 19:42,,32 Dietrich Taylor,Entered Game,
Payton Hulsey,Free Throw Attempt,,,1 - 19:42,,,,Torlorf Thomas Defensive Rebound
,,,,1 - 19:27,,Cedric Harper,Turnover,
Djordje Beronja,Steal,,,1 - 19:26,,,,
Jermohn Queen,Field Goal Attempt,Eastern Florida Offensive Rebound,,1 - 19:11,,,,
,,,,1 - 19:11,,Dietrich Taylor,Defensive Foul,
Djordje Beronja,Free Throw Attempt,Eastern Florida Offensive Rebound,,1 - 19:11,,,,
Djordje Beronja,Free Throw Made,,3-0,1 - 19:11,3,,,
,,Payton Hulsey Defensive Rebound,,1 - 18:59,,Daryl Macon,Three Point Attempt,
Jermohn Queen,Three Point Attempt,,,1 - 18:45,,,,Marcus Washington Defensive Rebound
,,Kyle Meyer Defensive Rebound,,1 - 18:38,,Daryl Macon,Three Point Attempt,
Demetrius McReynolds,Field Goal Attempt,,,1 - 18:29,,,,Daryl Macon Defensive Rebound
,,,,1 - 18:19,,Torlorf Thomas,Turnover,
Jermohn Queen,Turnover,,,1 - 18:09,,,,
,,,3-2,1 - 17:45,1,Marcus Washington,Field Goal Made,
,,,,1 - 17:44,,Dietrich Taylor,Assist,
Kyle Meyer,Three Point Attempt,,,1 - 17:27,,,,Holmes CC Defensive Rebound
Payton Hulsey,Defensive Foul,,,1 - 17:13,,,,
,,,3-3,1 - 17:13,(T1),Marcus Washington,Free Throw Made,
,,,3-4,1 - 17:13,-1 (L2),Marcus Washington,Free Throw Made,
,,,,1 - 17:04,,Daryl Macon,Defensive Foul,
Kyle Meyer,Field Goal Attempt,Kyle Meyer Offensive Rebound,,1 - 16:49,,,,
Kyle Meyer,Field Goal Made,,5-4,1 - 16:46,1 (L3),,,
,,,,1 - 16:31,,Dietrich Taylor,Field Goal Attempt,Torlorf Thomas Offensive Rebound
Jermohn Queen,Defensive Foul,,,1 - 16:30,,,,
,,Kyle Meyer Defensive Rebound,,1 - 16:11,,Marcus Washington,Field Goal Attempt,
Djordje Beronja,Field Goal Made,,7-4,1 - 15:58,3,,,
Payton Hulsey,Assist,,,1 - 15:58,,,,
,,,7-6,1 - 15:35,1,Dietrich Taylor,Field Goal Made,
Djordje Beronja,Turnover,,,1 - 15:06,,,,
,,,,1 - 15:06,,Dietrich Taylor,Left the Game,Vercell Webster Entered the Game
Jermohn Queen,Left the Game,,,1 - 15:06,,,,
Djordje Beronja,Left the Game,Daishon Smith Entered the Game,,1 - 15:06,,,,
Landus Anderson,Entered the Game,,,1 - 15:06,,,,
,,,,1 - 14:51,,Torlorf Thomas,Field Goal Attempt,
Landus Anderson,Blocked shot,,,1 - 14:50,,,,
Daishon Smith,Defensive Rebound,,,1 - 14:48,,,,
Demetrius McReynolds,Field Goal Attempt,,,1 - 14:35,,,,Holmes CC Defensive Rebound
,,Kyle Meyer Defensive Rebound,,1 - 14:21,,Torlorf Thomas,Three Point Attempt,
Kyle Meyer,Three Point Attempt,,,1 - 13:50,,,,Vercell Webster Defensive Rebound
,,,,1 - 13:46,,Vercell Webster,Turnover,
Payton Hulsey,Steal,,,1 - 13:45,,,,
Payton Hulsey,Field Goal Attempt,,,1 - 13:43,,,,Daryl Macon Defensive Rebound
,,,7-8,1 - 13:34,-1 (L4),Daryl Macon,Field Goal Made,
,,,,1 - 13:34,,Marcus Washington,Assist,
,,,,1 - 13:31,,Marcus Washington,Left the Game,Jarvis Williams Entered the Game
,,,,1 - 13:31,,Jarvis Williams,Left the Game,Marcus Washington Entered the Game
Payton Hulsey,Left the Game,Jermohn Queen Entered the Game,,1 - 13:31,,,,
,,,,1 - 13:31,,Daryl Macon,Left the Game,Jarvis Williams Entered the Game
,,,,1 - 13:24,,Jarvis Williams,Left the Game,
,,,,1 - 13:24,,Marcus Washington,Left the Game,
,,,,1 - 13:24,,Torlorf Thomas,Left the Game,
,,,,1 - 13:24,,Cedric Harper,Left the Game,
,,,,1 - 13:24,,Vercell Webster,Left the Game,
Jermohn Queen,Left the Game,,,1 - 13:24,,,,
Daishon Smith,Left the Game,,,1 - 13:24,,,,
Kyle Meyer,Left the Game,,,1 - 13:24,,,,
Landus Anderson,Left the Game,,,1 - 13:24,,,,
Demetrius McReynolds,Left the Game,,,1 - 13:24,,,,
,,,,1 - 13:24,,Jarvis Williams,Entered the Game,
,,,,1 - 13:24,,Marcus Washington,Entered the Game,
,,,,1 - 13:24,,Cedric Harper,Entered the Game,
,,,,1 - 13:24,,R.J. Scott,Entered the Game,
,,,,1 - 13:24,,Daryl Macon,Entered the Game,
,,,,1 - 13:24,,R.J. Scott,Left the Game,Vercell Webster Entered the Game
Jermohn Queen,Entered the Game,,,1 - 13:24,,,,
Daishon Smith,Entered the Game,,,1 - 13:24,,,,
Kyle Meyer,Entered the Game,,,1 - 13:24,,,,
Landus Anderson,Entered the Game,,,1 - 13:24,,,,
Demetrius McReynolds,Entered the Game,,,1 - 13:24,,,,
Demetrius McReynolds,Field Goal Made,,9-8,1 - 13:10,1 (L5),,,
Landus Anderson,Assist,,,1 - 13:10,,,,
