Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Logan Adams,Start Game,,,,,3 Dominique Shaw,Start Game,
5 Xavier Dortch,Start Game,,,,,11 Faith Pope,Start Game,
14 Reagan Eubanks,Start Game,,,,,12 Ronnie Stacy,Start Game,
12 Rafael Adams,Start Game,,,,,33 Dale Jones,Start Game,
42 Phillip Rankin,Start Game,,,,,44 Ikenna Okwarabizie,Start Game,
42 Phillip Rankin,Entered Game,,,1 - 19:57,,,,Faith Pope Jump Ball Lost
14 Reagan Eubanks,Entered Game,,,1 - 19:45,,,,
5 Xavier Dortch,Entered Game,,,1 - 19:44,,Ikenna Okwarabizie,Blocked shot,
1 Logan Adams,Entered Game,,,1 - 19:43,,Ronnie Stacy,Defensive Rebound,
12 Rafael Adams,Entered Game,Logan Adams Defensive Rebound,,1 - 19:32,,Ikenna Okwarabizie,Field Goal Attempt,
Phillip Rankin,Three Point Made,,3-0,1 - 19:16,3 (L1),,,
Xavier Dortch,Assist,,,1 - 19:16,,,,
,,,3-2,1 - 19:01,1,Dale Jones,Field Goal Made,
Xavier Dortch,Three Point Attempt,,,1 - 18:41,,,,Ikenna Okwarabizie Defensive Rebound
,,Rafael Adams Defensive Rebound,,1 - 18:28,,Dale Jones,Three Point Attempt,
Rafael Adams,Field Goal Made,,5-2,1 - 18:22,3,,,
Xavier Dortch,Assist,,,1 - 18:22,,,,
,,,,1 - 18:22,,Ikenna Okwarabizie,Defensive Foul,
Rafael Adams,Free Throw Attempt,,,1 - 18:22,,,,Ikenna Okwarabizie Defensive Rebound
,,,5-5,1 - 18:08,(T1),Dale Jones,Three Point Made,
Phillip Rankin,Three Point Made,,8-5,1 - 17:58,3 (L2),,,
Xavier Dortch,Assist,,,1 - 17:58,,,,
,,Reagan Eubanks Defensive Rebound,,1 - 17:47,,Dale Jones,Three Point Attempt,
Phillip Rankin,Three Point Attempt,,,1 - 17:28,,,,Dominique Shaw Defensive Rebound
,,Phillip Rankin Defensive Rebound,,1 - 17:13,,Dominique Shaw,Field Goal Attempt,
Logan Adams,Field Goal Attempt,,,1 - 16:58,,,,Ikenna Okwarabizie Defensive Rebound
,,Phillip Rankin Defensive Rebound,,1 - 16:45,,Dominique Shaw,Field Goal Attempt,
Logan Adams,Field Goal Attempt,,,1 - 16:33,,,,Faith Pope Defensive Rebound
,,,8-7,1 - 16:22,1,Ikenna Okwarabizie,Field Goal Made,
,,,,1 - 16:21,,Dominique Shaw,Assist,
Reagan Eubanks,Three Point Attempt,,,1 - 16:03,,,,Dominique Shaw Defensive Rebound
Reagan Eubanks,Defensive Foul,,,1 - 15:51,,,,
Phillip Rankin,Left the Game,Romoane Eager Entered the Game,,1 - 15:51,,,,
,,,8-8,1 - 15:51,(T2),Faith Pope,Free Throw Made,
,,Reagan Eubanks Defensive Rebound,,1 - 15:51,,Faith Pope,Free Throw Attempt,
Logan Adams,Field Goal Attempt,Logan Adams Offensive Rebound,,1 - 15:29,,,,
Logan Adams,Field Goal Attempt,,,1 - 15:27,,,,Dale Jones Defensive Rebound
,,,8-10,1 - 15:17,-2 (L3),Faith Pope,Field Goal Made,
,,,,1 - 15:17,,Ronnie Stacy,Assist,
Reagan Eubanks,Three Point Made,,11-10,1 - 14:58,1 (L4),,,
Rafael Adams,Assist,,,1 - 14:58,,,,
,,,,1 - 14:53,,Dominique Shaw,Field Goal Attempt,
Rafael Adams,Blocked shot,,,1 - 14:51,,,,
Romoane Eager,Defensive Rebound,,,1 - 14:50,,,,
Rafael Adams,Field Goal Made,,13-10,1 - 14:47,3,,,
Romoane Eager,Assist,,,1 - 14:47,,,,
,,,,1 - 14:46,,Ikenna Okwarabizie,Defensive Foul,
,,,,1 - 14:46,,Ikenna Okwarabizie,Left the Game,Tyler Miller Entered the Game
Logan Adams,Left the Game,Lawyer Lilly Entered the Game,,1 - 14:46,,,,
