Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
0 Doniel Dean,Start Game,,,,,1 Zach Winter,Start Game,
1 Taquan Givens,Start Game,,,,,5 Bashier Ahmed,Start Game,
2 Montrel Goldston,Start Game,,,,,12 Austin Budke,Start Game,
3 Denzel Council,Start Game,,,,,25 Keanu Pinder,Start Game,
15 Donovan Harris,Start Game,,,,,33 DeShawn Freeman,Start Game,
0 Doniel Dean,Entered Game,Donovan Harris Jump Ball Lost,,1 - 19:56,,Keanu Pinder,Jump Ball Won,
1 Taquan Givens,Entered Game,,,1 - 19:53,,DeShawn Freeman,Turnover,
2 Montrel Goldston,Entered Game,,3-0,1 - 19:37,3 (L1),,,
3 Denzel Council,Entered Game,,,1 - 19:37,,,,
Doniel Dean,Field Goal Attempt,Donovan Harris Offensive Rebound,,1 - 19:00,,,,
Taquan Givens,Three Point Attempt,,,1 - 18:52,,,,DeShawn Freeman Defensive Rebound
,,,,1 - 18:35,,Austin Budke,Offensive Foul,
,,,,1 - 18:35,,Austin Budke,Turnover,
Montrel Goldston,Charge,,,1 - 18:35,,,,
Doniel Dean,Field Goal Attempt,,,1 - 18:18,,,,Keanu Pinder Defensive Rebound
,,,,1 - 18:13,,Austin Budke,Turnover,
Doniel Dean,Turnover,,,1 - 17:59,,,,
,,,,1 - 17:58,,Bashier Ahmed,Steal,
Montrel Goldston,Defensive Foul,,,1 - 17:44,,,,
Doniel Dean,Left the Game,Ty Toney Entered the Game,,1 - 17:43,,,,
,,,,1 - 17:32,,Bashier Ahmed,Turnover,
Denzel Council,Steal,,,1 - 17:31,,,,
Denzel Council,Field Goal Attempt,,,1 - 17:28,,,,
,,,,1 - 17:26,,DeShawn Freeman,Blocked shot,
,,,,1 - 17:23,,Austin Budke,Defensive Rebound,
Donovan Harris,Defensive Foul,,,1 - 17:02,,,,
Donovan Harris,Left the Game,Terrence Thompson Entered the Game,,1 - 17:02,,,,
,,Terrence Thompson Defensive Rebound,,1 - 16:56,,Zach Winter,Field Goal Attempt,
Terrence Thompson,Jump Ball Won,,,1 - 16:56,,,,
Montrel Goldston,Three Point Attempt,,,1 - 16:36,,,,Bashier Ahmed Defensive Rebound
,,,,1 - 16:30,,Bashier Ahmed,Turnover,
Taquan Givens,Steal,,,1 - 16:28,,,,
Denzel Council,Field Goal Attempt,,,1 - 16:26,,,,Zach Winter Defensive Rebound
Denzel Council,Defensive Foul,,,1 - 16:26,,,,
Denzel Council,Left the Game,Doniel Dean Entered the Game,,1 - 16:26,,,,
,,,3-2,1 - 16:20,1,Keanu Pinder,Field Goal Made,
,,,,1 - 16:20,,DeShawn Freeman,Assist,
Taquan Givens,Field Goal Attempt,,,1 - 15:56,,,,
,,,,1 - 15:56,,Keanu Pinder,Blocked shot,
Ty Toney,Turnover,,,1 - 15:52,,,,
Doniel Dean,Left the Game,Paris Ballinger Entered the Game,,1 - 15:52,,,,
Taquan Givens,Left the Game,Doniel Dean Entered the Game,,1 - 15:52,,,,
,,,,1 - 15:51,,Bashier Ahmed,Turnover,
Paris Ballinger,Three Point Attempt,,,1 - 15:33,,,,DeShawn Freeman Defensive Rebound
,,Terrence Thompson Defensive Rebound,,1 - 15:25,,Zach Winter,Field Goal Attempt,
Ty Toney,Offensive Foul,,,1 - 15:19,,,,
Ty Toney,Turnover,,,1 - 15:19,,,,
,,,,1 - 15:19,,Keanu Pinder,Charge,
,,,,1 - 15:07,,Keanu Pinder,Turnover,
Doniel Dean,Steal,,,1 - 15:06,,,,
Montrel Goldston,Turnover,,,1 - 15:01,,,,
,,,,1 - 15:00,,Zach Winter,Steal,
,,,3-4,1 - 14:55,-1 (L2),DeShawn Freeman,Field Goal Made,
,,,,1 - 14:55,,Zach Winter,Assist,
,,,,1 - 14:51,,Austin Budke,Free Throw Attempt,HCC Offensive Rebound
,,,3-5,1 - 14:51,-2,Austin Budke,Free Throw Made,
,,,,1 - 14:51,,Zach Winter,Left the Game,Akbar Hoffman Entered the Game
Ty Toney,Field Goal Attempt,,,1 - 14:37,,,,Keanu Pinder Defensive Rebound
,,Ty Toney Defensive Rebound,,1 - 14:17,,Bashier Ahmed,Three Point Attempt,
,,,,1 - 14:16,,DeShawn Freeman,Defensive Foul,
Doniel Dean,Left the Game,,,1 - 14:16,,,,
Montrel Goldston,Left the Game,,,1 - 14:16,,,,
Terrence Thompson,Left the Game,,,1 - 14:16,,,,
Paris Ballinger,Left the Game,,,1 - 14:16,,,,
Ty Toney,Left the Game,Taquan Givens Entered the Game,,1 - 14:16,,,,
Denzel Council,Entered the Game,,,1 - 14:16,,,,
Ty Toney,Entered the Game,,,1 - 14:16,,,,
Donovan Harris,Entered the Game,,,1 - 14:16,,,,
Doniel Dean,Entered the Game,,,1 - 14:16,,,,
Denzel Council,Turnover,,,1 - 13:53,,,,
,,,,1 - 13:53,,Keanu Pinder,Left the Game,Moataz Aly Entered the Game
,,,3-7,1 - 13:29,-4,Bashier Ahmed,Field Goal Made,
,,,,1 - 13:08,,Moataz Aly,Defensive Foul,
Doniel Dean,Left the Game,Montrel Goldston Entered the Game,,1 - 13:08,,,,
,,,,1 - 13:08,,Austin Budke,Left the Game,Che Bob Entered the Game
Donovan Harris,Free Throw Made,,4-7,1 - 13:08,-3,,,
Donovan Harris,Free Throw Made,,5-7,1 - 13:08,-2,,,
,,,,1 - 12:54,,Akbar Hoffman,Turnover,
Ty Toney,Steal,,,1 - 12:53,,,,
Ty Toney,Field Goal Made,,7-7,1 - 12:49,(T1),,,
,,,7-9,1 - 12:25,-2 (L3),Akbar Hoffman,Field Goal Made,
,,,,1 - 12:24,,Che Bob,Assist,
Donovan Harris,Field Goal Attempt,,,1 - 12:00,,,,
,,,,1 - 11:59,,Moataz Aly,Blocked shot,
Denzel Council,Left the Game,Terrence Thompson Entered the Game,,1 - 11:59,,,,
Donovan Harris,Field Goal Attempt,,,1 - 11:56,,,,
,,,,1 - 11:53,,Che Bob,Blocked shot,
,,,,1 - 11:52,,Che Bob,Defensive Rebound,
,,,,1 - 11:49,,Akbar Hoffman,Three Point Attempt,Moataz Aly Offensive Rebound
Montrel Goldston,Defensive Foul,,,1 - 11:21,,,,
Taquan Givens,Left the Game,,,1 - 11:21,,,,
Montrel Goldston,Left the Game,Doniel Dean Entered the Game,,1 - 11:21,,,,
Denzel Council,Entered the Game,,,1 - 11:21,,,,
,,,7-10,1 - 11:21,-3,DeShawn Freeman,Free Throw Made,
,,,7-11,1 - 11:21,-4,DeShawn Freeman,Free Throw Made,
Ty Toney,Field Goal Attempt,,,1 - 11:00,,,,DeShawn Freeman Defensive Rebound
Denzel Council,Defensive Foul,,,1 - 10:53,,,,
Denzel Council,Left the Game,Taquan Givens Entered the Game,,1 - 10:53,,,,
,,Donovan Harris Defensive Rebound,,1 - 10:39,,DeShawn Freeman,Field Goal Attempt,
Ty Toney,Field Goal Made,,9-11,1 - 10:34,-2,,,
Donovan Harris,Assist,,,1 - 10:34,,,,
,,,,1 - 10:19,,Akbar Hoffman,Field Goal Attempt,Akbar Hoffman Offensive Rebound
,,Georgia Highlands Defensive Rebound,,1 - 10:17,,Akbar Hoffman,Field Goal Attempt,
,,,,1 - 10:17,,Che Bob,Left the Game,
,,,,1 - 10:17,,Akbar Hoffman,Left the Game,
,,,,1 - 10:17,,Moataz Aly,Left the Game,Zach Winter Entered the Game
,,,,1 - 10:17,,Austin Budke,Entered the Game,
,,,,1 - 10:17,,Keanu Pinder,Entered the Game,
Donovan Harris,Offensive Foul,,,1 - 10:03,,,,
Donovan Harris,Turnover,,,1 - 10:03,,,,
Donovan Harris,Left the Game,Paris Ballinger Entered the Game,,1 - 10:03,,,,
,,,9-13,1 - 9:43,-4,Zach Winter,Field Goal Made,
Ty Toney,Field Goal Attempt,,,1 - 9:21,,,,DeShawn Freeman Defensive Rebound
Doniel Dean,Defensive Foul,,,1 - 9:01,,,,
,,,,1 - 9:01,,Bashier Ahmed,Free Throw Attempt,HCC Offensive Rebound
,,,9-14,1 - 9:01,-5,Bashier Ahmed,Free Throw Made,
Terrence Thompson,Field Goal Made,,11-14,1 - 8:31,-3,,,
Doniel Dean,Assist,,,1 - 8:31,,,,
,,Doniel Dean Defensive Rebound,,1 - 8:20,,Bashier Ahmed,Field Goal Attempt,
Terrence Thompson,Three Point Made,,14-14,1 - 8:01,(T2),,,
Doniel Dean,Assist,,,1 - 8:01,,,,
,,,,1 - 7:36,,DeShawn Freeman,Turnover,
Taquan Givens,Steal,,,1 - 7:35,,,,
Doniel Dean,Field Goal Attempt,,,1 - 7:25,,,,Keanu Pinder Defensive Rebound
,,,14-16,1 - 7:15,-2 (L4),Bashier Ahmed,Field Goal Made,
,,,,1 - 7:11,,Zach Winter,Assist,
Terrence Thompson,Three Point Attempt,,,1 - 6:57,,,,DeShawn Freeman Defensive Rebound
,,Taquan Givens Defensive Rebound,,1 - 6:45,,Keanu Pinder,Three Point Attempt,
Taquan Givens,Field Goal Attempt,,,1 - 6:36,,,,
,,,,1 - 6:36,,Keanu Pinder,Blocked shot,
Terrence Thompson,Offensive Rebound,,,1 - 6:35,,,,
Terrence Thompson,Left the Game,Denzel Council Entered the Game,,1 - 6:34,,,,
,,,,1 - 6:34,,Zach Winter,Left the Game,
,,,,1 - 6:34,,Bashier Ahmed,Left the Game,Akbar Hoffman Entered the Game
,,,,1 - 6:34,,Jaylan Robertson,Entered the Game,
Ty Toney,Field Goal Attempt,Ty Toney Offensive Rebound,,1 - 6:26,,,,
Ty Toney,Field Goal Made,,16-16,1 - 6:24,(T3),,,
,,,,1 - 5:57,,DeShawn Freeman,Field Goal Attempt,DeShawn Freeman Offensive Rebound
Denzel Council,Defensive Foul,,,1 - 5:56,,,,
Denzel Council,Left the Game,Montrel Goldston Entered the Game,,1 - 5:56,,,,
,,,,1 - 5:56,,DeShawn Freeman,Free Throw Attempt,HCC Offensive Rebound
,,,,1 - 5:56,,DeShawn Freeman,Free Throw Attempt,HCC Offensive Rebound
,,,,1 - 5:56,,Austin Budke,Field Goal Attempt,Austin Budke Offensive Rebound
,,,16-18,1 - 5:56,-2 (L5),Austin Budke,Field Goal Made,
Montrel Goldston,Defensive Foul,,,1 - 5:54,,,,
Montrel Goldston,Left the Game,Terrence Thompson Entered the Game,,1 - 5:54,,,,
,,,16-19,1 - 5:54,-3,Austin Budke,Free Throw Made,
Ty Toney,Three Point Attempt,,,1 - 5:17,,,,Austin Budke Defensive Rebound
,,,,1 - 4:58,,Keanu Pinder,Offensive Foul,
,,,,1 - 4:58,,Keanu Pinder,Turnover,
Terrence Thompson,Left the Game,Donovan Harris Entered the Game,,1 - 4:58,,,,
Ty Toney,Field Goal Attempt,,,1 - 4:45,,,,Jaylan Robertson Defensive Rebound
,,Georgia Highlands Defensive Rebound,,1 - 4:24,,Akbar Hoffman,Field Goal Attempt,
Paris Ballinger,Field Goal Attempt,,,1 - 4:06,,,,
,,,,1 - 4:05,,Keanu Pinder,Blocked shot,
,,,,1 - 4:04,,Jaylan Robertson,Defensive Rebound,
,,,16-21,1 - 4:02,-5,DeShawn Freeman,Field Goal Made,
,,,,1 - 3:58,,Jaylan Robertson,Assist,
Taquan Givens,Three Point Attempt,,,1 - 3:32,,,,Keanu Pinder Defensive Rebound
,,Donovan Harris Defensive Rebound,,1 - 3:13,,Austin Budke,Field Goal Attempt,
,,,,1 - 2:46,,DeShawn Freeman,Defensive Foul,
Donovan Harris,Left the Game,Terrence Thompson Entered the Game,,1 - 2:46,,,,
,,,,1 - 2:46,,Keanu Pinder,Left the Game,
,,,,1 - 2:46,,DeShawn Freeman,Left the Game,Bashier Ahmed Entered the Game
,,,,1 - 2:46,,Moataz Aly,Entered the Game,
Paris Ballinger,Free Throw Made,,17-21,1 - 2:46,-4,,,
Paris Ballinger,Free Throw Made,,18-21,1 - 2:46,-3,,,
