Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Zach Winter,Start Game,,,,,2 Melvin Swift,Start Game,
5 Bashier Ahmed,Start Game,,,,,4 Jhaustin Thomas,Start Game,
12 Austin Budke,Start Game,,,,,11 Dedrick Basile,Start Game,
25 Keanu Pinder,Start Game,,,,,13 Clarence Williams,Start Game,
33 DeShawn Freeman,Start Game,,,,,15 Shelton Hagigal,Start Game,
Keanu Pinder,Jump Ball Won,,,1 - 19:59,,2 Melvin Swift,Entered Game,Jhaustin Thomas Jump Ball Lost
Austin Budke,Turnover,,,1 - 19:48,,11 Dedrick Basile,Entered Game,
,,,,1 - 19:46,,13 Clarence Williams,Entered Game,
,,Zach Winter Defensive Rebound,,1 - 19:35,,15 Shelton Hagigal,Entered Game,
Bashier Ahmed,Turnover,,,1 - 19:14,,4 Jhaustin Thomas,Entered Game,
,,,,1 - 19:06,,Shelton Hagigal,Steal,
,,Austin Budke Defensive Rebound,,1 - 19:04,,Dedrick Basile,Three Point Attempt,
Bashier Ahmed,Turnover,,,1 - 18:51,,,,
,,,,1 - 18:50,,Clarence Williams,Steal,
,,,0-2,1 - 18:32,-2 (L1),Jhaustin Thomas,Field Goal Made,
,,,,1 - 18:31,,Dedrick Basile,Assist,
,,,,1 - 18:21,,Clarence Williams,Defensive Foul,
Keanu Pinder,Free Throw Attempt,HCC Offensive Rebound,,1 - 18:21,,,,
Keanu Pinder,Free Throw Made,,1-2,1 - 18:21,-1,,,
,,,,1 - 17:56,,Shelton Hagigal,Turnover,
Zach Winter,Field Goal Attempt,HCC Offensive Rebound,,1 - 17:37,,,,
,,,,1 - 17:37,,Melvin Swift,Left the Game,Aldonis foote Entered the Game
Bashier Ahmed,Three Point Attempt,,,1 - 17:30,,,,Aldonis foote Defensive Rebound
,,,,1 - 17:19,,Clarence Williams,Offensive Foul,
,,,,1 - 17:19,,Clarence Williams,Turnover,
,,,,1 - 17:05,,Clarence Williams,Left the Game,Devante Jackson Entered the Game
DeShawn Freeman,Three Point Made,,4-2,1 - 16:54,2 (L2),,,
,,,,1 - 16:27,,Dedrick Basile,Field Goal Attempt,
Keanu Pinder,Blocked shot,,,1 - 16:25,,,,
,,,,1 - 16:24,,Aldonis foote,Offensive Rebound,
,,Bashier Ahmed Defensive Rebound,,1 - 16:21,,Aldonis foote,Field Goal Attempt,
