Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Tyrell Bellot-Green,Start Game,,,,,0 Doniel Dean,Start Game,
3 Marcus Johnson Jr.,Start Game,,,,,1 Taquan Givens,Start Game,
5 Coris Williams Jr.,Start Game,,,,,2 Montrel Goldston,Start Game,
21 Jemerrio Jones,Start Game,,,,,3 Denzel Council,Start Game,
32 Kristian Keys,Start Game,,,,,15 Donovan Harris,Start Game,
1 Tyrell Bellot-Green,Entered Game,Tyrell Bellot-Green Jump Ball Lost,,1 - 19:59,,Donovan Harris,Jump Ball Won,
3 Marcus Johnson Jr.,Entered Game,,,1 - 19:42,,Montrel Goldston,Turnover,
5 Coris Williams Jr.,Entered Game,,,1 - 19:42,,,,
32 Kristian Keys,Entered Game,Tyrell Bellot-Green Offensive Rebound,,1 - 19:36,,,,
Tyrell Bellot-Green,Field Goal Made,,2-0,1 - 19:31,2 (L1),,,
,,,2-2,1 - 19:00,(T1),Taquan Givens,Field Goal Made,
Coris Williams Jr.,Field Goal Made,,4-2,1 - 18:53,2 (L2),,,
Marcus Johnson Jr.,Assist,,,1 - 18:52,,,,
,,,,1 - 18:26,,Doniel Dean,Field Goal Attempt,Doniel Dean Offensive Rebound
,,,,1 - 18:22,,Doniel Dean,Turnover,
Coris Williams Jr.,Steal,,,1 - 18:20,,,,
Marcus Johnson Jr.,Three Point Attempt,,,1 - 18:15,,,,Georgia Highlands Defensive Rebound
,,,,1 - 18:14,,Donovan Harris,Left the Game,Terrence Thompson Entered the Game
,,Coris Williams Jr. Defensive Rebound,,1 - 17:57,,Terrence Thompson,Field Goal Attempt,
Kristian Keys,Three Point Attempt,,,1 - 17:46,,,,Denzel Council Defensive Rebound
,,Tyrell Bellot-Green Defensive Rebound,,1 - 17:37,,Taquan Givens,Three Point Attempt,
Jemerrio Jones,Field Goal Made,,6-2,1 - 17:21,4,,,
Kristian Keys,Assist,,,1 - 17:20,,,,
,,Coris Williams Jr. Defensive Rebound,,1 - 16:58,,Taquan Givens,Field Goal Attempt,
Marcus Johnson Jr.,Turnover,,,1 - 16:51,,,,
,,,,1 - 16:50,,Denzel Council,Steal,
,,,,1 - 16:45,,Terrence Thompson,Field Goal Attempt,
Kristian Keys,Blocked shot,,,1 - 16:44,,,,
,,,,1 - 16:43,,Terrence Thompson,Offensive Rebound,
,,,6-4,1 - 16:42,2,Terrence Thompson,Field Goal Made,
Marcus Johnson Jr.,Field Goal Attempt,Jemerrio Jones Offensive Rebound,,1 - 16:22,,,,
Jemerrio Jones,Field Goal Attempt,,,1 - 16:20,,,,Denzel Council Defensive Rebound
,,Tyrell Bellot-Green Defensive Rebound,,1 - 16:04,,Montrel Goldston,Three Point Attempt,
,,,,1 - 15:57,,Montrel Goldston,Left the Game,
,,,,1 - 15:57,,Denzel Council,Left the Game,Donovan Harris Entered the Game
,,,,1 - 15:57,,Ty Toney,Entered the Game,
Tyrell Bellot-Green,Three Point Made,,9-4,1 - 15:54,5,,,
Marcus Johnson Jr.,Assist,,,1 - 15:53,,,,
,,Tyrell Bellot-Green Defensive Rebound,,1 - 15:19,,Ty Toney,Three Point Attempt,
Coris Williams Jr.,Field Goal Made,,11-4,1 - 14:52,7,,,
Marcus Johnson Jr.,Assist,,,1 - 14:52,,,,
Kristian Keys,Defensive Foul,,,1 - 14:29,,,,
,,,,1 - 14:29,,Taquan Givens,Left the Game,
,,,,1 - 14:29,,Donovan Harris,Left the Game,Jordan Adams Entered the Game
,,,,1 - 14:29,,Denzel Council,Entered the Game,
,,Jemerrio Jones Defensive Rebound,,1 - 14:12,,Ty Toney,Three Point Attempt,
Coris Williams Jr.,Field Goal Made,,13-4,1 - 14:04,9,,,
Jemerrio Jones,Assist,,,1 - 14:03,,,,
,,Jemerrio Jones Defensive Rebound,,1 - 13:40,,Terrence Thompson,Field Goal Attempt,
Marcus Johnson Jr.,Field Goal Made,,15-4,1 - 13:35,11,,,
Jemerrio Jones,Assist,,,1 - 13:35,,,,
,,,,1 - 13:35,,Ty Toney,Defensive Foul,
Tyrell Bellot-Green,Left the Game,,,1 - 13:35,,,,
Marcus Johnson Jr.,Left the Game,,,1 - 13:35,,,,
Coris Williams Jr.,Left the Game,,,1 - 13:35,,,,
Jemerrio Jones,Left the Game,,,1 - 13:35,,,,
Kristian Keys,Left the Game,Evan Moorman Entered the Game,,1 - 13:35,,,,
,,,,1 - 13:35,,Doniel Dean,Left the Game,
,,,,1 - 13:35,,Denzel Council,Left the Game,
,,,,1 - 13:35,,Terrence Thompson,Left the Game,
,,,,1 - 13:35,,Jordan Adams,Left the Game,
,,,,1 - 13:35,,Ty Toney,Left the Game,
Marcus Johnson Jr.,Entered the Game,,,1 - 13:35,,,,
Kristian Keys,Entered the Game,,,1 - 13:35,,,,
Tyrell Bellot-Green,Entered the Game,,,1 - 13:35,,,,
Tyrell Bellot-Green,Left the Game,,,1 - 13:35,,,,
Marcus Johnson Jr.,Left the Game,,,1 - 13:35,,,,
Kristian Keys,Left the Game,Marcus Johnson Jr. Entered the Game,,1 - 13:35,,,,
Devocio Butler,Entered the Game,,,1 - 13:35,,,,
Jemerrio Jones,Entered the Game,,,1 - 13:35,,,,
Coris Williams Jr.,Entered the Game,,,1 - 13:35,,,,
,,,,1 - 13:35,,Doniel Dean,Entered the Game,
,,,,1 - 13:35,,Ty Toney,Entered the Game,
,,,,1 - 13:35,,Montrel Goldston,Entered the Game,
,,,,1 - 13:35,,Jordan Adams,Entered the Game,
,,,,1 - 13:35,,Denzel Council,Entered the Game,
Marcus Johnson Jr.,Free Throw Made,,16-4,1 - 13:35,12,,,
,,,16-6,1 - 13:23,10,Denzel Council,Field Goal Made,
,,,,1 - 13:02,,Denzel Council,Defensive Foul,
,,,,1 - 13:02,,Doniel Dean,Left the Game,
,,,,1 - 13:02,,Jordan Adams,Left the Game,Taquan Givens Entered the Game
,,,,1 - 13:02,,Donovan Harris,Entered the Game,
Coris Williams Jr.,Field Goal Made,,18-6,1 - 12:48,12,,,
,,,18-8,1 - 12:28,10,Donovan Harris,Field Goal Made,
,,,,1 - 12:26,,Denzel Council,Assist,
Devocio Butler,Turnover,,,1 - 12:16,,,,
,,,18-10,1 - 12:05,8,Denzel Council,Field Goal Made,
,,,,1 - 12:03,,Ty Toney,Left the Game,Doniel Dean Entered the Game
Marcus Johnson Jr.,Field Goal Attempt,Jemerrio Jones Offensive Rebound,,1 - 11:45,,,,
Jemerrio Jones,Turnover,,,1 - 11:42,,,,
,,,,1 - 11:40,,Doniel Dean,Steal,
,,Devocio Butler Defensive Rebound,,1 - 11:27,,Montrel Goldston,Three Point Attempt,
Devocio Butler,Offensive Foul,,,1 - 11:20,,,,
Devocio Butler,Turnover,,,1 - 11:20,,,,
,,,18-12,1 - 10:52,6,Montrel Goldston,Field Goal Made,
Jemerrio Jones,Field Goal Made,,20-12,1 - 10:33,8,,,
