Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Tyrell Bellot-Green,Start Game,,,,,3 Renard Suggs,Start Game,
3 Marcus Johnson Jr.,Start Game,,,,,12 Ben Glover,Start Game,
5 Coris Williams Jr.,Start Game,,,,,14 Lorenzo Bonam,Start Game,
21 Jemerrio Jones,Start Game,,,,,33 Sarp Gobeloglu,Start Game,
32 Kristian Keys,Start Game,,,,,35 Kavell Bigby-Williams,Start Game,
5 Coris Williams Jr.,Entered Game,Tyrell Bellot-Green Jump Ball Lost,,1 - 19:59,,Kavell Bigby-Williams,Jump Ball Won,
32 Kristian Keys,Entered Game,,0-3,1 - 19:52,-3 (L1),Renard Suggs,Three Point Made,
3 Marcus Johnson Jr.,Entered Game,,,1 - 19:52,,Ben Glover,Assist,
21 Jemerrio Jones,Entered Game,,,1 - 19:32,,,,
1 Tyrell Bellot-Green,Entered Game,,,1 - 19:30,,Kavell Bigby-Williams,Blocked shot,
Jemerrio Jones,Field Goal Made,,2-3,1 - 19:21,-1,,,
,,,2-5,1 - 19:13,-3,Lorenzo Bonam,Field Goal Made,
Coris Williams Jr.,Turnover,,,1 - 19:00,,,,
,,,,1 - 18:59,,Ben Glover,Steal,
,,Coris Williams Jr. Defensive Rebound,,1 - 18:53,,Sarp Gobeloglu,Three Point Attempt,
Marcus Johnson Jr.,Three Point Attempt,,,1 - 18:43,,,,Gillette College Defensive Rebound
,,,2-7,1 - 18:28,-5,Lorenzo Bonam,Field Goal Made,
Coris Williams Jr.,Defensive Foul,,,1 - 18:28,,,,
,,Coris Williams Jr. Defensive Rebound,,1 - 18:28,,Lorenzo Bonam,Free Throw Attempt,
Tyrell Bellot-Green,Field Goal Attempt,,,1 - 18:17,,,,Kavell Bigby-Williams Defensive Rebound
,,,,1 - 18:06,,Lorenzo Bonam,Turnover,
Coris Williams Jr.,Steal,,,1 - 18:06,,,,
Jemerrio Jones,Turnover,,,1 - 17:59,,,,
,,Hill College Defensive Rebound,,1 - 17:37,,Ben Glover,Three Point Attempt,
,,,,1 - 17:37,,Kavell Bigby-Williams,Defensive Foul,
Tyrell Bellot-Green,Three Point Made,,5-7,1 - 17:24,-2,,,
Marcus Johnson Jr.,Assist,,,1 - 17:22,,,,
,,,,1 - 17:13,,Renard Suggs,Turnover,
Tyrell Bellot-Green,Three Point Attempt,Tyrell Bellot-Green Offensive Rebound,,1 - 17:01,,,,
Kristian Keys,Field Goal Made,,7-7,1 - 16:49,(T1),,,
,,Jemerrio Jones Defensive Rebound,,1 - 16:36,,Renard Suggs,Field Goal Attempt,
Jemerrio Jones,Field Goal Made,,9-7,1 - 16:30,2 (L2),,,
,,,,1 - 16:17,,Ben Glover,Turnover,
Coris Williams Jr.,Steal,,,1 - 16:15,,,,
Marcus Johnson Jr.,Field Goal Made,,11-7,1 - 16:13,4,,,
Coris Williams Jr.,Assist,,,1 - 16:12,,,,
,,,11-9,1 - 15:56,2,Lorenzo Bonam,Field Goal Made,
,,,,1 - 15:55,,Sarp Gobeloglu,Assist,
Tyrell Bellot-Green,Three Point Made,,14-9,1 - 15:37,5,,,
Coris Williams Jr.,Assist,,,1 - 15:36,,,,
,,,,1 - 15:33,,Ben Glover,Turnover,
,,,,1 - 15:34,,Kavell Bigby-Williams,Left the Game,Quinton Everett Entered the Game
Jemerrio Jones,Turnover,,,1 - 15:23,,,,
,,,,1 - 15:23,,Sarp Gobeloglu,Steal,
,,,,1 - 15:17,,Sarp Gobeloglu,Left the Game,Brandon Jones Entered the Game
,,Kristian Keys Defensive Rebound,,1 - 15:17,,Brandon Jones,Field Goal Attempt,
Jemerrio Jones,Field Goal Attempt,,,1 - 15:09,,,,
,,,,1 - 15:07,,Lorenzo Bonam,Left the Game,Sarp Gobeloglu Entered the Game
,,,,1 - 15:07,,Sarp Gobeloglu,Defensive Rebound,
,,,,1 - 15:07,,Renard Suggs,Left the Game,
,,,,1 - 15:07,,Quinton Everett,Left the Game,
,,,,1 - 15:07,,Ben Glover,Left the Game,
,,,,1 - 15:07,,Brandon Jones,Left the Game,
,,,,1 - 15:07,,Sarp Gobeloglu,Left the Game,Lorenzo Bonam Entered the Game
,,,,1 - 15:07,,Renard Suggs,Entered the Game,
,,,,1 - 15:07,,Quinton Everett,Entered the Game,
,,,,1 - 15:07,,Brandon Jones,Entered the Game,
,,,,1 - 15:07,,Sarp Gobeloglu,Entered the Game,
Kristian Keys,Defensive Foul,,,1 - 14:43,,,,
,,,,1 - 14:43,,Brandon Jones,Free Throw Attempt,Gillette College Offensive Rebound
,,,14-10,1 - 14:43,4,Brandon Jones,Free Throw Made,
Kristian Keys,Turnover,,,1 - 14:35,,,,
,,,,1 - 14:35,,Lorenzo Bonam,Steal,
,,,,1 - 14:30,,Quinton Everett,Field Goal Attempt,
Jemerrio Jones,Blocked shot,,,1 - 14:29,,,,
Coris Williams Jr.,Defensive Rebound,,,1 - 14:29,,,,
Kristian Keys,Three Point Attempt,Coris Williams Jr. Offensive Rebound,,1 - 14:22,,,,
Tyrell Bellot-Green,Field Goal Attempt,,,1 - 14:15,,,,Sarp Gobeloglu Defensive Rebound
Kristian Keys,Defensive Foul,,,1 - 14:13,,,,
,,,,1 - 14:13,,Renard Suggs,Left the Game,Ben Glover Entered the Game
Kristian Keys,Left the Game,Devocio Butler Entered the Game,,1 - 14:13,,,,
,,Jemerrio Jones Defensive Rebound,,1 - 13:46,,Brandon Jones,Field Goal Attempt,
Tyrell Bellot-Green,Three Point Made,,17-10,1 - 13:37,7,,,
Devocio Butler,Assist,,,1 - 13:36,,,,
,,Coris Williams Jr. Defensive Rebound,,1 - 13:21,,Quinton Everett,Three Point Attempt,
Marcus Johnson Jr.,Three Point Attempt,Jemerrio Jones Offensive Rebound,,1 - 13:06,,,,
Jemerrio Jones,Field Goal Attempt,,,1 - 13:00,,,,Lorenzo Bonam Defensive Rebound
Jemerrio Jones,Defensive Foul,,,1 - 12:57,,,,
,,,,1 - 12:57,,Brandon Jones,Left the Game,
,,,,1 - 12:57,,Sarp Gobeloglu,Left the Game,Rickey Suggs Entered the Game
,,,,1 - 12:57,,Kavell Bigby-Williams,Entered the Game,
,,,17-12,1 - 12:57,5,Lorenzo Bonam,Field Goal Made,
,,,,1 - 12:57,,Ben Glover,Assist,
Tyrell Bellot-Green,Field Goal Attempt,Devocio Butler Offensive Rebound,,1 - 12:57,,,,
Coris Williams Jr.,Field Goal Made,,19-12,1 - 12:53,7,,,
Devocio Butler,Assist,,,1 - 12:51,,,,
,,,,1 - 12:39,,Rickey Suggs,Defensive Foul,
Tyrell Bellot-Green,Left the Game,Evan Moorman Entered the Game,,1 - 12:39,,,,
Coris Williams Jr.,Free Throw Attempt,,,1 - 12:39,,,,Kavell Bigby-Williams Defensive Rebound
,,Coris Williams Jr. Defensive Rebound,,1 - 12:26,,Rickey Suggs,Field Goal Attempt,
Marcus Johnson Jr.,Field Goal Made,,21-12,1 - 12:21,9,,,
Coris Williams Jr.,Assist,,,1 - 12:21,,,,
,,,,1 - 12:05,,Lorenzo Bonam,Left the Game,
,,,,1 - 12:05,,Rickey Suggs,Left the Game,Renard Suggs Entered the Game
,,,,1 - 12:05,,Brandon Jones,Entered the Game,
,,,,1 - 12:05,,Ben Glover,Left the Game,Lorenzo Bonam Entered the Game
,,,21-14,1 - 12:05,7,Lorenzo Bonam,Field Goal Made,
,,,,1 - 12:05,,Renard Suggs,Assist,
,,,,1 - 11:43,,Kavell Bigby-Williams,Defensive Foul,
,,,,1 - 11:43,,Kavell Bigby-Williams,Left the Game,Sarp Gobeloglu Entered the Game
Devocio Butler,Free Throw Attempt,Hill College Offensive Rebound,,1 - 11:43,,,,
Devocio Butler,Free Throw Made,,22-14,1 - 11:43,8,,,
,,,,1 - 11:24,,Lorenzo Bonam,Three Point Attempt,Sarp Gobeloglu Offensive Rebound
,,,22-17,1 - 11:10,5,Brandon Jones,Three Point Made,
,,,,1 - 11:09,,Renard Suggs,Assist,
Marcus Johnson Jr.,Field Goal Attempt,,,1 - 10:45,,,,Renard Suggs Defensive Rebound
,,,22-20,1 - 10:39,2,Quinton Everett,Three Point Made,
,,,,1 - 10:36,,Renard Suggs,Assist,
,,,,1 - 10:33,,Renard Suggs,Defensive Foul,
Coris Williams Jr.,Free Throw Made,,23-20,1 - 10:33,3,,,
Coris Williams Jr.,Free Throw Attempt,,,1 - 10:33,,,,Brandon Jones Defensive Rebound
,,,,1 - 10:26,,Brandon Jones,Turnover,
Jemerrio Jones,Steal,,,1 - 10:25,,,,
Jemerrio Jones,Turnover,,,1 - 10:24,,,,
Coris Williams Jr.,Left the Game,Tyrell Bellot-Green Entered the Game,,1 - 10:24,,,,
,,,,1 - 10:15,,Lorenzo Bonam,Turnover,
Devocio Butler,Field Goal Made,,25-20,1 - 9:58,5,,,
