Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
3 Marcus Washington,Start Game,,,,,1 Tyrell Bellot-Green,Start Game,
4 Daryl Macon,Start Game,,,,,3 Marcus Johnson Jr.,Start Game,
11 Torlorf Thomas,Start Game,,,,,5 Coris Williams Jr.,Start Game,
12 Cedric Harper,Start Game,,,,,21 Jemerrio Jones,Start Game,
32 Dietrich Taylor,Start Game,,,,,32 Kristian Keys,Start Game,
,,Torlorf Thomas Jump Ball Lost,,1 - 19:57,,32 Kristian Keys,Entered Game,
,,,0-3,1 - 19:46,-3 (L1),1 Tyrell Bellot-Green,Entered Game,
,,,,1 - 19:45,,21 Jemerrio Jones,Entered Game,
Daryl Macon,Field Goal Made,,2-3,1 - 19:32,-1,3 Marcus Johnson Jr.,Entered Game,
,,,,1 - 19:16,,5 Coris Williams Jr.,Entered Game,Kristian Keys Offensive Rebound
,,,,1 - 19:13,,Kristian Keys,Field Goal Attempt,Hill College Offensive Rebound
,,,,1 - 19:02,,Tyrell Bellot-Green,Three Point Attempt,Kristian Keys Offensive Rebound
,,Torlorf Thomas Defensive Rebound,,1 - 18:58,,Tyrell Bellot-Green,Field Goal Attempt,
Daryl Macon,Three Point Made,,5-3,1 - 18:48,2 (L2),,,
Torlorf Thomas,Assist,,,1 - 18:48,,,,
,,,,1 - 18:33,,Jemerrio Jones,Three Point Attempt,Hill College Offensive Rebound
Torlorf Thomas,Defensive Foul,,,1 - 18:32,,,,
,,,5-5,1 - 18:27,(T1),Kristian Keys,Field Goal Made,
,,,,1 - 18:27,,Marcus Johnson Jr.,Assist,
Marcus Washington,Turnover,,,1 - 18:23,,,,
,,,,1 - 18:22,,Jemerrio Jones,Steal,
,,,5-7,1 - 18:12,-2 (L3),Marcus Johnson Jr.,Field Goal Made,
Cedric Harper,Field Goal Attempt,,,1 - 18:01,,,,Coris Williams Jr. Defensive Rebound
,,,5-9,1 - 17:51,-4,Jemerrio Jones,Field Goal Made,
,,,,1 - 17:50,,Marcus Johnson Jr.,Assist,
Torlorf Thomas,Left the Game,Jarvis Williams Entered the Game,,1 - 17:49,,,,
,,,,1 - 17:37,,Coris Williams Jr.,Defensive Foul,
Dietrich Taylor,Free Throw Made,,6-9,1 - 17:37,-3,,,
Dietrich Taylor,Free Throw Made,,7-9,1 - 17:37,-2,,,
Daryl Macon,Defensive Foul,,,1 - 17:31,,,,
,,Jarvis Williams Defensive Rebound,,1 - 17:23,,Jemerrio Jones,Field Goal Attempt,
Daryl Macon,Three Point Attempt,,,1 - 17:04,,,,Coris Williams Jr. Defensive Rebound
,,,,1 - 16:46,,Marcus Johnson Jr.,Field Goal Attempt,Marcus Johnson Jr. Offensive Rebound
,,,7-11,1 - 16:44,-4,Marcus Johnson Jr.,Field Goal Made,
Dietrich Taylor,Turnover,,,1 - 16:28,,,,
,,Cedric Harper Defensive Rebound,,1 - 16:10,,Tyrell Bellot-Green,Three Point Attempt,
Dietrich Taylor,Field Goal Made,,9-11,1 - 15:54,-2,,,
,,,,1 - 15:41,,Coris Williams Jr.,Field Goal Attempt,Coris Williams Jr. Offensive Rebound
,,Dietrich Taylor Defensive Rebound,,1 - 15:38,,Coris Williams Jr.,Field Goal Attempt,
Marcus Washington,Left the Game,,,1 - 15:33,,,,
Dietrich Taylor,Left the Game,D`Angelo Richardson Entered the Game,,1 - 15:33,,,,
Vercell Webster,Entered the Game,,,1 - 15:33,,,,
,,,,1 - 15:33,,Kristian Keys,Left the Game,Devocio Butler Entered the Game
D`Angelo Richardson,Field Goal Attempt,,,1 - 15:29,,,,
,,,,1 - 15:27,,Jemerrio Jones,Blocked shot,
,,,,1 - 15:26,,Coris Williams Jr.,Defensive Rebound,
,,Cedric Harper Defensive Rebound,,1 - 15:21,,Marcus Johnson Jr.,Field Goal Attempt,
D`Angelo Richardson,Three Point Attempt,,,1 - 15:05,,,,Hill College Defensive Rebound
D`Angelo Richardson,Left the Game,Torlorf Thomas Entered the Game,,1 - 15:04,,,,
,,,9-14,1 - 14:41,-5,Marcus Johnson Jr.,Three Point Made,
,,,,1 - 14:40,,Coris Williams Jr.,Assist,
,,,,1 - 14:25,,Tyrell Bellot-Green,Defensive Foul,
,,,,1 - 14:21,,Jemerrio Jones,Defensive Foul,
Cedric Harper,Field Goal Attempt,,,1 - 14:17,,,,Jemerrio Jones Defensive Rebound
,,,9-16,1 - 14:11,-7,Marcus Johnson Jr.,Field Goal Made,
Jarvis Williams,Three Point Attempt,Daryl Macon Offensive Rebound,,1 - 13:50,,,,
Jarvis Williams,Field Goal Made,,11-16,1 - 13:46,-5,,,
Daryl Macon,Assist,,,1 - 13:46,,,,
,,,,1 - 13:35,,Marcus Johnson Jr.,Turnover,
Cedric Harper,Steal,,,1 - 13:35,,,,
Cedric Harper,Left the Game,Dietrich Taylor Entered the Game,,1 - 13:34,,,,
Dietrich Taylor,Field Goal Attempt,,,1 - 13:34,,,,Jemerrio Jones Defensive Rebound
,,,,1 - 13:34,,Tyrell Bellot-Green,Left the Game,Evan Moorman Entered the Game
,,Daryl Macon Defensive Rebound,,1 - 13:20,,Jemerrio Jones,Three Point Attempt,
Daryl Macon,Turnover,,,1 - 13:13,,,,
,,,,1 - 13:12,,Jemerrio Jones,Steal,
,,Jarvis Williams Defensive Rebound,,1 - 12:46,,Evan Moorman,Three Point Attempt,
Dietrich Taylor,Field Goal Made,,13-16,1 - 12:36,-3,,,
Jarvis Williams,Assist,,,1 - 12:36,,,,
,,,13-18,1 - 12:21,-5,Coris Williams Jr.,Field Goal Made,
Jarvis Williams,Field Goal Attempt,,,1 - 11:49,,,,Jemerrio Jones Defensive Rebound
,,,,1 - 11:36,,Jemerrio Jones,Turnover,
Vercell Webster,Steal,,,1 - 11:34,,,,
Torlorf Thomas,Three Point Attempt,,,1 - 11:31,,,,Devocio Butler Defensive Rebound
,,,,1 - 11:31,,Devocio Butler,Turnover,
,,,,1 - 11:31,,Coris Williams Jr.,Left the Game,Stefan Zecevic Entered the Game
Jarvis Williams,Left the Game,,,1 - 11:31,,,,
Daryl Macon,Left the Game,,,1 - 11:31,,,,
Torlorf Thomas,Left the Game,,,1 - 11:31,,,,
Dietrich Taylor,Left the Game,,,1 - 11:31,,,,
Vercell Webster,Left the Game,Marcus Washington Entered the Game,,1 - 11:31,,,,
Jarvis Williams,Entered the Game,,,1 - 11:31,,,,
Vercell Webster,Entered the Game,,,1 - 11:31,,,,
Dietrich Taylor,Entered the Game,,,1 - 11:31,,,,
Daryl Macon,Entered the Game,,,1 - 11:31,,,,
Daryl Macon,Three Point Attempt,,,1 - 11:19,,,,
,,,,1 - 11:17,,Evan Moorman,Left the Game,Tyrell Bellot-Green Entered the Game
,,,,1 - 11:17,,Tyrell Bellot-Green,Defensive Rebound,
,,Dietrich Taylor Defensive Rebound,,1 - 11:17,,Tyrell Bellot-Green,Field Goal Attempt,
,,,,1 - 11:17,,Stefan Zecevic,Defensive Foul,
Dietrich Taylor,Left the Game,Cedric Harper Entered the Game,,1 - 11:17,,,,
Jarvis Williams,Turnover,,,1 - 11:17,,,,
,,,,1 - 11:17,,Tyrell Bellot-Green,Steal,
,,,,1 - 11:17,,Marcus Johnson Jr.,Field Goal Attempt,Marcus Johnson Jr. Offensive Rebound
,,,,1 - 11:17,,Jemerrio Jones,Left the Game,Evan Moorman Entered the Game
,,,,1 - 11:17,,Devocio Butler,Turnover,
Jarvis Williams,Three Point Attempt,,,1 - 10:43,,,,Stefan Zecevic Defensive Rebound
,,Marcus Washington Defensive Rebound,,1 - 10:07,,Tyrell Bellot-Green,Three Point Attempt,
Daryl Macon,Field Goal Attempt,,,1 - 9:50,,,,Stefan Zecevic Defensive Rebound
,,,,1 - 9:18,,Stefan Zecevic,Offensive Foul,
,,,,1 - 9:18,,Stefan Zecevic,Turnover,
,,,,1 - 9:18,,Tyrell Bellot-Green,Left the Game,
,,,,1 - 9:18,,Devocio Butler,Left the Game,
,,,,1 - 9:18,,Stefan Zecevic,Left the Game,Coris Williams Jr. Entered the Game
,,,,1 - 9:18,,Jemerrio Jones,Entered the Game,
,,,,1 - 9:18,,Kristian Keys,Entered the Game,
Marcus Washington,Field Goal Made,,15-18,1 - 9:00,-3,,,
Cedric Harper,Defensive Foul,,,1 - 8:48,,,,
Vercell Webster,Left the Game,Dietrich Taylor Entered the Game,,1 - 8:48,,,,
,,,,1 - 8:48,,Jemerrio Jones,Free Throw Attempt,Hill College Offensive Rebound
,,,15-19,1 - 8:48,-4,Jemerrio Jones,Free Throw Made,
Marcus Washington,Turnover,,,1 - 8:36,,,,
,,,,1 - 8:25,,Jemerrio Jones,Turnover,
Marcus Washington,Field Goal Attempt,,,1 - 8:07,,,,Jemerrio Jones Defensive Rebound
,,,,1 - 7:59,,Evan Moorman,Three Point Attempt,Coris Williams Jr. Offensive Rebound
,,,15-21,1 - 7:55,-6,Kristian Keys,Field Goal Made,
,,,,1 - 7:54,,Coris Williams Jr.,Assist,
Marcus Washington,Field Goal Made,,17-21,1 - 7:31,-4,,,
Dietrich Taylor,Assist,,,1 - 7:30,,,,
,,Marcus Washington Defensive Rebound,,1 - 7:21,,Marcus Johnson Jr.,Three Point Attempt,
