Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
2 Gary Williams Jr.,Start Game,,,,,3 Marcus Washington,Start Game,
11 Jerrelle DeBerry,Start Game,,,,,4 Daryl Macon,Start Game,
15 J.R. Harris,Start Game,,,,,11 Torlorf Thomas,Start Game,
23 Jordan Washington,Start Game,,,,,12 Cedric Harper,Start Game,
24 Louis Adams Jr.,Start Game,,,,,32 Dietrich Taylor,Start Game,
Jordan Washington,Jump Ball Won,,,1 - 19:58,,4 Daryl Macon,Entered Game,Torlorf Thomas Jump Ball Lost
Louis Adams Jr.,Field Goal Made,,2-0,1 - 19:49,2 (L1),11 Torlorf Thomas,Entered Game,
,,Gary Williams Jr. Defensive Rebound,,1 - 19:31,,12 Cedric Harper,Entered Game,
Jordan Washington,Turnover,,,1 - 19:28,,32 Dietrich Taylor,Entered Game,
,,,2-2,1 - 19:00,(T1),Dietrich Taylor,Field Goal Made,
,,,,1 - 19:00,,Marcus Washington,Assist,
Jordan Washington,Field Goal Made,,4-2,1 - 18:50,2 (L2),,,
Louis Adams Jr.,Assist,,,1 - 18:50,,,,
,,,4-4,1 - 18:34,(T2),Dietrich Taylor,Field Goal Made,
Jerrelle DeBerry,Three Point Attempt,,,1 - 18:21,,,,Cedric Harper Defensive Rebound
,,J.R. Harris Defensive Rebound,,1 - 18:12,,Daryl Macon,Three Point Attempt,
J.R. Harris,Three Point Attempt,Jerrelle DeBerry Offensive Rebound,,1 - 17:56,,,,
Jerrelle DeBerry,Field Goal Attempt,,,1 - 17:53,,,,
,,,,1 - 17:50,,Cedric Harper,Blocked shot,
J.R. Harris,Offensive Rebound,,,1 - 17:50,,,,
,,,,1 - 17:49,,Cedric Harper,Defensive Foul,
Jordan Washington,Free Throw Attempt,Indian Hills Offensive Rebound,,1 - 17:49,,,,
Jordan Washington,Free Throw Made,,5-4,1 - 17:49,1 (L3),,,
Gary Williams Jr.,Defensive Foul,,,1 - 17:40,,,,
,,,5-5,1 - 17:40,(T3),Dietrich Taylor,Free Throw Made,
,,Indian Hills Defensive Rebound,,1 - 17:40,,Dietrich Taylor,Free Throw Attempt,
Louis Adams Jr.,Field Goal Attempt,Jordan Washington Offensive Rebound,,1 - 17:30,,,,
Jordan Washington,Field Goal Made,,7-5,1 - 17:26,2 (L4),,,
,,,7-7,1 - 17:07,(T4),Cedric Harper,Field Goal Made,
