Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
15 Bobby Mannie,Start Game,,,,,0 Aaron Thomas,Start Game,
20 Martavian Payne,Start Game,,,,,3 Demetres Abrams,Start Game,
23 Connor Wheeler,Start Game,,,,,4 TJ Evans,Start Game,
24 Jordan Martin,Start Game,,,,,5 Cordea Wilson,Start Game,
25 Russell Woods,Start Game,,,,,15 Anthony Vanhook,Start Game,
Russell Woods,Jump Ball Won,,,1 - 20:00,,0 Aaron Thomas,Entered Game,Anthony Vanhook Jump Ball Lost
,,,,1 - 20:00,,3 Demetres Abrams,Entered Game,
Connor Wheeler,Free Throw Made,,1-0,1 - 20:00,1 (L1),4 TJ Evans,Entered Game,
Connor Wheeler,Free Throw Made,,2-0,1 - 20:00,2,5 Cordea Wilson,Entered Game,
Martavian Payne,Three Point Attempt,John A Logan Offensive Rebound,,1 - 19:40,,,,
Connor Wheeler,Three Point Attempt,,,1 - 19:36,,,,Cordea Wilson Defensive Rebound
,,Connor Wheeler Defensive Rebound,,1 - 19:13,,Anthony Vanhook,Field Goal Attempt,
,,,,1 - 19:08,,Cordea Wilson,Defensive Foul,
Connor Wheeler,Free Throw Made,,3-0,1 - 19:08,3,,,
Connor Wheeler,Free Throw Made,,4-0,1 - 19:08,4,,,
,,Bobby Mannie Defensive Rebound,,1 - 18:55,,Demetres Abrams,Three Point Attempt,
Russell Woods,Turnover,,,1 - 18:32,,,,
,,,4-2,1 - 18:14,2,Demetres Abrams,Field Goal Made,
Martavian Payne,Defensive Foul,,,1 - 18:14,,,,
,,,4-3,1 - 18:14,1,Demetres Abrams,Free Throw Made,
Bobby Mannie,Turnover,,,1 - 17:58,,,,
,,,,1 - 17:57,,Cordea Wilson,Steal,
,,,4-5,1 - 17:55,-1 (L2),Cordea Wilson,Field Goal Made,
,,,,1 - 17:44,,Anthony Vanhook,Defensive Foul,
Bobby Mannie,Left the Game,AJ Riley Entered the Game,,1 - 17:44,,,,
Jordan Martin,Free Throw Attempt,John A Logan Offensive Rebound,,1 - 17:44,,,,
Jordan Martin,Free Throw Attempt,Martavian Payne Offensive Rebound,,1 - 17:44,,,,
Martavian Payne,Three Point Attempt,Russell Woods Offensive Rebound,,1 - 17:37,,,,
Russell Woods,Field Goal Made,,6-5,1 - 17:33,1 (L3),,,
Connor Wheeler,Defensive Foul,,,1 - 17:29,,,,
,,,6-6,1 - 17:29,(T1),Demetres Abrams,Free Throw Made,
,,,,1 - 17:29,,Aaron Thomas,Turnover,
Martavian Payne,Offensive Foul,,,1 - 17:17,,,,
Martavian Payne,Turnover,,,1 - 17:17,,,,
,,,,1 - 17:17,,Aaron Thomas,Charge,
Martavian Payne,Left the Game,Devontavius Payne Entered the Game,,1 - 17:15,,,,
,,,,1 - 17:14,,Aaron Thomas,Turnover,
Jordan Martin,Steal,,,1 - 17:13,,,,
Connor Wheeler,Turnover,,,1 - 17:06,,,,
,,,,1 - 17:04,,TJ Evans,Steal,
,,,,1 - 16:47,,Anthony Vanhook,Turnover,
AJ Riley,Steal,,,1 - 16:45,,,,
AJ Riley,Field Goal Made,,8-6,1 - 16:45,2 (L4),,,
,,,,1 - 16:34,,Anthony Vanhook,Defensive Foul,
,,,,1 - 16:34,,Anthony Vanhook,Left the Game,Travis Barnes Entered the Game
AJ Riley,Free Throw Attempt,,,1 - 16:34,,,,Travis Barnes Defensive Rebound
