Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Anthony Vidure,Start Game,,,,,1 Tyrell Bellot-Green,Start Game,
3 Greg Tucker,Start Game,,,,,3 Marcus Johnson Jr.,Start Game,
5 Jamal McDowell,Start Game,,,,,5 Coris Williams Jr.,Start Game,
15 Randy Holmes,Start Game,,,,,21 Jemerrio Jones,Start Game,
32 Jalen Norman,Start Game,,,,,32 Kristian Keys,Start Game,
Jalen Norman,Jump Ball Won,,,1 - 19:59,,21 Jemerrio Jones,Entered Game,Tyrell Bellot-Green Jump Ball Lost
Anthony Vidure,Three Point Attempt,Greg Tucker Offensive Rebound,,1 - 19:23,,3 Marcus Johnson Jr.,Entered Game,
Anthony Vidure,Field Goal Made,,2-0,1 - 19:18,2 (L1),5 Coris Williams Jr.,Entered Game,
Jamal McDowell,Assist,,,1 - 19:17,,1 Tyrell Bellot-Green,Entered Game,
,,Anthony Vidure Defensive Rebound,,1 - 19:10,,32 Kristian Keys,Entered Game,
Greg Tucker,Turnover,,,1 - 18:50,,,,
,,,,1 - 18:49,,Marcus Johnson Jr.,Steal,
,,,2-2,1 - 18:49,(T1),Marcus Johnson Jr.,Field Goal Made,
Jamal McDowell,Defensive Foul,,,1 - 18:49,,,,
,,,2-3,1 - 18:49,-1 (L2),Marcus Johnson Jr.,Free Throw Made,
Greg Tucker,Three Point Attempt,Randy Holmes Offensive Rebound,,1 - 18:35,,,,
Jalen Norman,Turnover,,,1 - 18:32,,,,
,,,2-5,1 - 18:25,-3,Jemerrio Jones,Field Goal Made,
,,,,1 - 18:24,,Coris Williams Jr.,Assist,
Randy Holmes,Offensive Foul,,,1 - 17:53,,,,
Randy Holmes,Turnover,,,1 - 17:53,,,,
,,,,1 - 17:53,,Jemerrio Jones,Charge,
,,,,1 - 17:38,,Tyrell Bellot-Green,Three Point Attempt,Tyrell Bellot-Green Offensive Rebound
,,,2-7,1 - 17:33,-5,Tyrell Bellot-Green,Field Goal Made,
Jalen Norman,Field Goal Attempt,,,1 - 17:20,,,,Tyrell Bellot-Green Defensive Rebound
,,,,1 - 17:09,,Tyrell Bellot-Green,Turnover,
Randy Holmes,Steal,,,1 - 17:07,,,,
Anthony Vidure,Three Point Made,,5-7,1 - 17:06,-2,,,
,,Jamal McDowell Defensive Rebound,,1 - 17:02,,Marcus Johnson Jr.,Three Point Attempt,
Anthony Vidure,Three Point Attempt,Randy Holmes Offensive Rebound,,1 - 16:56,,,,
Randy Holmes,Field Goal Made,,7-7,1 - 16:53,(T2),,,
,,Jalen Norman Defensive Rebound,,1 - 16:29,,Kristian Keys,Field Goal Attempt,
Greg Tucker,Field Goal Made,,9-7,1 - 16:07,2 (L3),,,
Greg Tucker,Defensive Foul,,,1 - 15:53,,,,
Anthony Vidure,Left the Game,,,1 - 15:53,,,,
Greg Tucker,Left the Game,,,1 - 15:53,,,,
Jamal McDowell,Left the Game,,,1 - 15:53,,,,
Randy Holmes,Left the Game,,,1 - 15:53,,,,
Jalen Norman,Left the Game,,,1 - 15:53,,,,
,,,,1 - 15:53,,Tyrell Bellot-Green,Left the Game,
,,,,1 - 15:53,,Marcus Johnson Jr.,Left the Game,
,,,,1 - 15:53,,Coris Williams Jr.,Left the Game,
,,,,1 - 15:53,,Jemerrio Jones,Left the Game,
,,,,1 - 15:53,,Kristian Keys,Left the Game,Marcus Johnson Jr. Entered the Game
,,,,1 - 15:53,,Coris Williams Jr.,Entered the Game,
,,,,1 - 15:53,,Jemerrio Jones,Entered the Game,
,,,,1 - 15:53,,Devocio Butler,Entered the Game,
,,,,1 - 15:53,,Kristian Keys,Entered the Game,
Anthony Vidure,Entered the Game,,,1 - 15:53,,,,
Greg Tucker,Entered the Game,,,1 - 15:53,,,,
Greg Tucker,Left the Game,Malik Brown Entered the Game,,1 - 15:53,,,,
Dwayne Pow,Entered the Game,,,1 - 15:53,,,,
Randy Holmes,Entered the Game,,,1 - 15:53,,,,
Freddy Bitondo,Entered the Game,,,1 - 15:53,,,,
,,,9-9,1 - 15:47,(T3),Jemerrio Jones,Field Goal Made,
,,,,1 - 15:46,,Devocio Butler,Assist,
Anthony Vidure,Field Goal Attempt,Malik Brown Offensive Rebound,,1 - 15:25,,,,
Malik Brown,Field Goal Attempt,,,1 - 15:22,,,,
,,,,1 - 15:18,,Jemerrio Jones,Blocked shot,
,,,,1 - 15:17,,Jemerrio Jones,Defensive Rebound,
,,,9-11,1 - 15:15,-2 (L4),Kristian Keys,Field Goal Made,
,,,,1 - 15:14,,Jemerrio Jones,Assist,
Dwayne Pow,Field Goal Attempt,,,1 - 14:57,,,,Jemerrio Jones Defensive Rebound
,,,,1 - 14:43,,Jemerrio Jones,Three Point Attempt,Devocio Butler Offensive Rebound
Anthony Vidure,Defensive Foul,,,1 - 14:40,,,,
,,,,1 - 14:40,,Kristian Keys,Left the Game,Evan Moorman Entered the Game
,,,,1 - 14:40,,Devocio Butler,Free Throw Attempt,Hill College Offensive Rebound
,,,9-12,1 - 14:40,-3,Devocio Butler,Free Throw Made,
Freddy Bitondo,Field Goal Made,,11-12,1 - 14:21,-1,,,
Dwayne Pow,Assist,,,1 - 14:20,,,,
Randy Holmes,Left the Game,Jalen Norman Entered the Game,,1 - 14:12,,,,
,,,11-14,1 - 13:59,-3,Coris Williams Jr.,Field Goal Made,
Dwayne Pow,Turnover,,,1 - 13:31,,,,
,,,,1 - 13:30,,Jemerrio Jones,Steal,
,,Freddy Bitondo Defensive Rebound,,1 - 13:26,,Devocio Butler,Field Goal Attempt,
Anthony Vidure,Left the Game,,,1 - 13:21,,,,
Dwayne Pow,Left the Game,Greg Tucker Entered the Game,,1 - 13:21,,,,
Jamal McDowell,Entered the Game,,,1 - 13:21,,,,
Freddy Bitondo,Field Goal Attempt,,,1 - 13:09,,,,Jemerrio Jones Defensive Rebound
,,,11-17,1 - 13:00,-6,Marcus Johnson Jr.,Three Point Made,
,,,,1 - 12:59,,Evan Moorman,Assist,
