Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 William Desilien,Start Game,,,,,0 Aaron Thomas,Start Game,
3 Daryle Morgan,Start Game,,,,,3 Demetres Abrams,Start Game,
10 Colin May,Start Game,,,,,4 TJ Evans,Start Game,
5 EJ Hubbard,Start Game,,,,,5 Cordea Wilson,Start Game,
23 Christopher Boucher,Start Game,,,,,15 Anthony Vanhook,Start Game,
Christopher Boucher,Jump Ball Won,,,1 - 19:59,,3 Demetres Abrams,Entered Game,Anthony Vanhook Jump Ball Lost
Daryle Morgan,Three Point Attempt,,,1 - 19:48,,5 Cordea Wilson,Entered Game,Demetres Abrams Defensive Rebound
,,,,1 - 19:26,,0 Aaron Thomas,Entered Game,
Christopher Boucher,Blocked shot,,,1 - 19:24,,10 Calvin Davis,Entered Game,
Colin May,Defensive Rebound,,,1 - 19:21,,,,
William Desilien,Field Goal Made,,2-0,1 - 19:16,2 (L1),,,
,,Colin May Defensive Rebound,,1 - 18:54,,TJ Evans,Three Point Attempt,
Colin May,Three Point Attempt,EJ Hubbard Offensive Rebound,,1 - 18:41,,,,
Christopher Boucher,Three Point Made,,5-0,1 - 18:36,5,,,
EJ Hubbard,Assist,,,1 - 18:35,,,,
,,,,1 - 18:17,,TJ Evans,Turnover,
Daryle Morgan,Steal,,,1 - 18:17,,,,
EJ Hubbard,Three Point Attempt,,,1 - 18:10,,,,Cordea Wilson Defensive Rebound
Daryle Morgan,Defensive Foul,,,1 - 18:03,,,,
,,,5-1,1 - 18:03,4,Demetres Abrams,Free Throw Made,
,,,5-2,1 - 18:03,3,Demetres Abrams,Free Throw Made,
Colin May,Three Point Attempt,,,1 - 17:46,,,,Cordea Wilson Defensive Rebound
,,,5-4,1 - 17:31,1,Anthony Vanhook,Field Goal Made,
Daryle Morgan,Three Point Attempt,,,1 - 17:15,,,,Aaron Thomas Defensive Rebound
,,Christopher Boucher Defensive Rebound,,1 - 17:02,,Anthony Vanhook,Field Goal Attempt,
,,,,1 - 16:54,,Cordea Wilson,Defensive Foul,
,,,,1 - 16:54,,TJ Evans,Left the Game,Calvin Davis Entered the Game
William Desilien,Free Throw Attempt,NW College Offensive Rebound,,1 - 16:54,,,,
William Desilien,Free Throw Made,,6-4,1 - 16:54,2,,,
,,Christopher Boucher Defensive Rebound,,1 - 16:42,,Calvin Davis,Field Goal Attempt,
,,,,1 - 16:35,,Cordea Wilson,Defensive Foul,
,,,,1 - 16:35,,Cordea Wilson,Left the Game,Nate Sims Entered the Game
Daryle Morgan,Free Throw Made,,7-4,1 - 16:35,3,,,
Daryle Morgan,Free Throw Attempt,,,1 - 16:35,,,,Aaron Thomas Defensive Rebound
