Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Treshaad Williams,Start Game,,,,,0 Blake Johnson,Start Game,
4 Jalen Jackson,Start Game,,,,,1 TJ Dunans,Start Game,
5 Brandon Austin,Start Game,,,,,2 Jamonte Graham,Start Game,
22 Benji Bell,Start Game,,,,,10 Taljon Cromer,Start Game,
41 William Pfister,Start Game,,,,,32 Ramond Jenkins,Start Game,
1 Treshaad Williams,Entered Game,,,1 - 19:57,,,,Ramond Jenkins Jump Ball Lost
4 Jalen Jackson,Entered Game,,,1 - 19:53,,,,
5 Brandon Austin,Entered Game,,,1 - 19:51,,Ramond Jenkins,Blocked shot,
22 Benji Bell,Entered Game,,,1 - 19:49,,,,
Jalen Jackson,Field Goal Made,,2-0,1 - 19:48,2 (L1),,,
,,,2-3,1 - 19:41,-1 (L2),Jamonte Graham,Three Point Made,
,,,,1 - 19:30,,Taljon Cromer,Defensive Foul,
Treshaad Williams,Free Throw Made,,3-3,1 - 19:30,(T1),,,
Treshaad Williams,Free Throw Made,,4-3,1 - 19:30,1 (L3),,,
,,Treshaad Williams Defensive Rebound,,1 - 19:19,,Ramond Jenkins,Field Goal Attempt,
Benji Bell,Field Goal Attempt,Treshaad Williams Offensive Rebound,,1 - 19:11,,,,
Jalen Jackson,Field Goal Attempt,Treshaad Williams Offensive Rebound,,1 - 19:06,,,,
Treshaad Williams,Field Goal Attempt,,,1 - 19:03,,,,
,,,,1 - 19:02,,TJ Dunans,Blocked shot,
,,,,1 - 19:00,,Taljon Cromer,Defensive Rebound,
,,Brandon Austin Defensive Rebound,,1 - 18:47,,TJ Dunans,Field Goal Attempt,
Brandon Austin,Turnover,,,1 - 18:43,,,,
,,,4-6,1 - 18:15,-2 (L4),Jamonte Graham,Three Point Made,
,,,,1 - 18:14,,Ramond Jenkins,Assist,
Brandon Austin,Field Goal Made,,6-6,1 - 17:58,(T2),,,
Jalen Jackson,Defensive Foul,,,1 - 17:55,,,,
,,,,1 - 17:41,,Jamonte Graham,Turnover,
Jalen Jackson,Turnover,,,1 - 17:28,,,,
,,,,1 - 17:27,,Blake Johnson,Steal,
,,,,1 - 17:26,,Blake Johnson,Turnover,
Brandon Austin,Three Point Attempt,,,1 - 17:15,,,,TJ Dunans Defensive Rebound
,,Treshaad Williams Defensive Rebound,,1 - 17:07,,Ramond Jenkins,Field Goal Attempt,
Jalen Jackson,Field Goal Attempt,,,1 - 17:02,,,,Jamonte Graham Defensive Rebound
,,,,1 - 16:59,,Blake Johnson,Left the Game,
,,,,1 - 16:59,,TJ Dunans,Left the Game,
,,,,1 - 16:59,,Jamonte Graham,Left the Game,
,,,,1 - 16:59,,Taljon Cromer,Left the Game,
,,,,1 - 16:59,,Ramond Jenkins,Left the Game,Immanuel Griggs Entered the Game
,,,,1 - 16:59,,Taljon Cromer,Entered the Game,
,,,,1 - 16:59,,Blake Johnson,Entered the Game,
,,,,1 - 16:59,,TJ Dunans,Entered the Game,
,,,,1 - 16:59,,Jamonte Graham,Entered the Game,
,,,,1 - 16:49,,Taljon Cromer,Turnover,
Jalen Jackson,Steal,,,1 - 16:47,,,,
,,,,1 - 16:47,,TJ Dunans,Defensive Foul,
