Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Treshaad Williams,Start Game,,,,,0 Doniel Dean,Start Game,
4 Jalen Jackson,Start Game,,,,,1 Taquan Givens,Start Game,
5 Brandon Austin,Start Game,,,,,2 Montrel Goldston,Start Game,
22 Benji Bell,Start Game,,,,,3 Denzel Council,Start Game,
41 William Pfister,Start Game,,,,,15 Donovan Harris,Start Game,
Brandon Austin,Jump Ball Won,,,1 - 20:00,,1 Taquan Givens,Entered Game,Donovan Harris Jump Ball Lost
Brandon Austin,Field Goal Attempt,Treshaad Williams Offensive Rebound,,1 - 19:43,,2 Montrel Goldston,Entered Game,
Treshaad Williams,Field Goal Made,,2-0,1 - 19:41,2 (L1),0 Doniel Dean,Entered Game,
,,William Pfister Defensive Rebound,,1 - 19:23,,15 Donovan Harris,Entered Game,
Jalen Jackson,Turnover,,,1 - 19:19,,,,
,,Jalen Jackson Defensive Rebound,,1 - 19:05,,Doniel Dean,Field Goal Attempt,
Brandon Austin,Field Goal Attempt,William Pfister Offensive Rebound,,1 - 18:59,,,,
William Pfister,Field Goal Attempt,,,1 - 18:56,,,,
,,,,1 - 18:55,,Donovan Harris,Blocked shot,
,,,,1 - 18:55,,Donovan Harris,Defensive Rebound,
,,,,1 - 18:44,,Donovan Harris,Field Goal Attempt,Donovan Harris Offensive Rebound
Treshaad Williams,Defensive Foul,,,1 - 18:44,,,,
,,,2-1,1 - 18:44,1,Donovan Harris,Free Throw Made,
,,,2-2,1 - 18:44,(T1),Donovan Harris,Free Throw Made,
Jalen Jackson,Field Goal Made,,4-2,1 - 18:34,2 (L2),,,
,,,,1 - 18:29,,Taquan Givens,Turnover,
Jalen Jackson,Steal,,,1 - 18:28,,,,
,,,,1 - 18:26,,Taquan Givens,Defensive Foul,
Brandon Austin,Field Goal Attempt,,,1 - 18:16,,,,
,,,,1 - 18:13,,Doniel Dean,Blocked shot,
,,,,1 - 18:13,,Donovan Harris,Defensive Rebound,
Benji Bell,Defensive Foul,,,1 - 18:11,,,,
,,,4-3,1 - 18:11,1,Doniel Dean,Free Throw Made,
,,Brandon Austin Defensive Rebound,,1 - 18:11,,Doniel Dean,Free Throw Attempt,
Benji Bell,Three Point Attempt,Jalen Jackson Offensive Rebound,,1 - 18:02,,,,
,,,,1 - 18:01,,Denzel Council,Defensive Foul,
,,,,1 - 18:01,,Denzel Council,Left the Game,Ty Toney Entered the Game
Jalen Jackson,Free Throw Made,,5-3,1 - 18:01,2,,,
Jalen Jackson,Free Throw Made,,6-3,1 - 18:01,3,,,
,,Jalen Jackson Defensive Rebound,,1 - 17:46,,Taquan Givens,Three Point Attempt,
Jalen Jackson,Field Goal Made,,8-3,1 - 17:30,5,,,
Benji Bell,Assist,,,1 - 17:29,,,,
,,Brandon Austin Defensive Rebound,,1 - 16:54,,Ty Toney,Three Point Attempt,
Brandon Austin,Field Goal Made,,10-3,1 - 16:47,7,,,
,,,,1 - 16:26,,Montrel Goldston,Turnover,
Jalen Jackson,Steal,,,1 - 16:24,,,,
William Pfister,Field Goal Made,,12-3,1 - 16:11,9,,,
Jalen Jackson,Assist,,,1 - 16:10,,,,
,,,,1 - 16:07,,Doniel Dean,Left the Game,
,,,,1 - 16:07,,Taquan Givens,Left the Game,
,,,,1 - 16:07,,Montrel Goldston,Left the Game,
,,,,1 - 16:07,,Donovan Harris,Left the Game,
,,,,1 - 16:07,,Ty Toney,Left the Game,Doniel Dean Entered the Game
,,,,1 - 16:07,,Montrel Goldston,Entered the Game,
,,,,1 - 16:07,,Paris Ballinger,Entered the Game,
,,,,1 - 16:07,,Ty Toney,Entered the Game,
,,,,1 - 16:07,,Terrence Thompson,Entered the Game,
Brandon Austin,Jump Ball Won,,,1 - 15:53,,,,
,,,12-5,1 - 15:51,7,Ty Toney,Field Goal Made,
,,,,1 - 15:51,,Doniel Dean,Assist,
Jalen Jackson,Field Goal Attempt,Treshaad Williams Offensive Rebound,,1 - 15:36,,,,
Treshaad Williams,Field Goal Made,,14-5,1 - 15:34,9,,,
,,,14-7,1 - 15:07,7,Montrel Goldston,Field Goal Made,
,,,,1 - 14:51,,Ty Toney,Defensive Foul,
Treshaad Williams,Field Goal Attempt,,,1 - 14:39,,,,
,,,,1 - 14:37,,Montrel Goldston,Blocked shot,
Treshaad Williams,Offensive Rebound,,,1 - 14:34,,,,
Brandon Austin,Three Point Attempt,,,1 - 14:32,,,,Georgia Highlands Defensive Rebound
,,Brandon Austin Defensive Rebound,,1 - 14:14,,Montrel Goldston,Three Point Attempt,
Brandon Austin,Turnover,,,1 - 14:06,,,,
,,,,1 - 14:05,,Montrel Goldston,Steal,
,,Brandon Austin Defensive Rebound,,1 - 14:02,,Ty Toney,Field Goal Attempt,
Brandon Austin,Field Goal Made,,16-7,1 - 13:52,9,,,
Jalen Jackson,Assist,,,1 - 13:52,,,,
,,,,1 - 13:40,,Doniel Dean,Offensive Foul,
,,,,1 - 13:40,,Doniel Dean,Turnover,
Treshaad Williams,Charge,,,1 - 13:40,,,,
,,,,1 - 13:40,,Doniel Dean,Left the Game,
,,,,1 - 13:40,,Montrel Goldston,Left the Game,Taquan Givens Entered the Game
,,,,1 - 13:40,,Donovan Harris,Entered the Game,
Jalen Jackson,Turnover,,,1 - 13:27,,,,
,,,16-9,1 - 13:02,7,Donovan Harris,Field Goal Made,
,,,,1 - 13:01,,Taquan Givens,Assist,
Brandon Austin,Turnover,,,1 - 12:54,,,,
,,,,1 - 12:53,,Terrence Thompson,Steal,
Brandon Austin,Defensive Foul,,,1 - 12:52,,,,
,,,16-10,1 - 12:52,6,Terrence Thompson,Free Throw Made,
,,,16-11,1 - 12:52,5,Terrence Thompson,Free Throw Made,
Brandon Austin,Jump Ball Won,,,1 - 12:42,,,,
