Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Treshaad Williams,Start Game,,,,,1 William Desilien,Start Game,
4 Jalen Jackson,Start Game,,,,,3 Daryle Morgan,Start Game,
5 Brandon Austin,Start Game,,,,,5 EJ Hubbard,Start Game,
22 Benji Bell,Start Game,,,,,10 Colin May,Start Game,
41 William Pfister,Start Game,,,,,23 Christopher Boucher,Start Game,
,,Brandon Austin Jump Ball Lost,,1 - 19:57,,1 William Desilien,Entered Game,
,,,0-2,1 - 19:31,-2 (L1),3 Daryle Morgan,Entered Game,
Benji Bell,Three Point Attempt,Treshaad Williams Offensive Rebound,,1 - 19:23,,5 EJ Hubbard,Entered Game,
Treshaad Williams,Field Goal Attempt,Treshaad Williams Offensive Rebound,,1 - 19:20,,10 Colin May,Entered Game,
Benji Bell,Three Point Made,,3-2,1 - 19:16,1 (L2),23 Christopher Boucher,Entered Game,
Treshaad Williams,Assist,,,1 - 19:16,,,,
,,,3-5,1 - 18:57,-2 (L3),William Desilien,Three Point Made,
,,,,1 - 18:55,,Christopher Boucher,Assist,
Brandon Austin,Field Goal Attempt,,,1 - 18:39,,,,
,,,,1 - 18:37,,Christopher Boucher,Blocked shot,
,,,,1 - 18:36,,EJ Hubbard,Defensive Rebound,
,,William Pfister Defensive Rebound,,1 - 18:34,,William Desilien,Field Goal Attempt,
Jalen Jackson,Field Goal Made,,5-5,1 - 18:22,(T1),,,
William Pfister,Defensive Foul,,,1 - 18:02,,,,
,,Jalen Jackson Defensive Rebound,,1 - 17:58,,Daryle Morgan,Three Point Attempt,
William Pfister,Turnover,,,1 - 17:36,,,,
,,Brandon Austin Defensive Rebound,,1 - 17:24,,Christopher Boucher,Three Point Attempt,
,,,,1 - 17:16,,Daryle Morgan,Defensive Foul,
Benji Bell,Free Throw Made,,6-5,1 - 17:16,1 (L4),,,
Benji Bell,Free Throw Attempt,,,1 - 17:16,,,,Christopher Boucher Defensive Rebound
,,,,1 - 16:46,,Colin May,Turnover,
Benji Bell,Steal,,,1 - 16:45,,,,
Jalen Jackson,Field Goal Attempt,Treshaad Williams Offensive Rebound,,1 - 16:43,,,,
Treshaad Williams,Field Goal Made,,8-5,1 - 16:41,3,,,
,,Benji Bell Defensive Rebound,,1 - 16:25,,William Desilien,Field Goal Attempt,
Jalen Jackson,Field Goal Made,,10-5,1 - 16:18,5,,,
Benji Bell,Assist,,,1 - 16:18,,,,
Jalen Jackson,Defensive Foul,,,1 - 16:16,,,,
,,,10-7,1 - 16:02,3,Christopher Boucher,Field Goal Made,
,,,,1 - 16:01,,Daryle Morgan,Assist,
Benji Bell,Three Point Attempt,,,1 - 15:52,,,,NW College Defensive Rebound
William Pfister,Defensive Foul,,,1 - 15:36,,,,
,,,10-8,1 - 15:36,2,Christopher Boucher,Free Throw Made,
,,,10-9,1 - 15:36,1,Christopher Boucher,Free Throw Made,
Jalen Jackson,Field Goal Attempt,,,1 - 15:11,,,,Daryle Morgan Defensive Rebound
,,,,1 - 15:04,,William Desilien,Field Goal Attempt,William Desilien Offensive Rebound
,,,10-11,1 - 14:58,-1 (L5),William Desilien,Field Goal Made,
William Pfister,Offensive Foul,,,1 - 14:51,,,,
William Pfister,Turnover,,,1 - 14:51,,,,
William Pfister,Left the Game,Keith Charleston Entered the Game,,1 - 14:51,,,,
,,,10-13,1 - 14:33,-3,EJ Hubbard,Field Goal Made,
,,,,1 - 14:33,,William Desilien,Assist,
Brandon Austin,Field Goal Made,,12-13,1 - 14:12,-1,,,
Keith Charleston,Assist,,,1 - 14:12,,,,
,,,,1 - 13:53,,William Desilien,Turnover,
Brandon Austin,Steal,,,1 - 13:52,,,,
Keith Charleston,Field Goal Attempt,Keith Charleston Offensive Rebound,,1 - 13:48,,,,
Keith Charleston,Field Goal Attempt,Keith Charleston Offensive Rebound,,1 - 13:47,,,,
Keith Charleston,Jump Ball Won,,,1 - 13:47,,,,
Benji Bell,Field Goal Made,,14-13,1 - 13:42,1 (L6),,,
Brandon Austin,Assist,,,1 - 13:34,,,,
,,,14-16,1 - 13:28,-2 (L7),Christopher Boucher,Three Point Made,
,,,,1 - 13:47,,Colin May,Left the Game,Ammar Rehman Entered the Game
Brandon Austin,Field Goal Attempt,Brandon Austin Offensive Rebound,,1 - 13:28,,,,
Brandon Austin,Field Goal Attempt,,,1 - 13:28,,,,
,,,,1 - 13:28,,Christopher Boucher,Blocked shot,
Keith Charleston,Offensive Rebound,,,1 - 13:28,,,,
Brandon Austin,Field Goal Made,,16-16,1 - 13:28,(T2),,,
Jalen Jackson,Assist,,,1 - 13:28,,,,
,,,,1 - 13:28,,Ammar Rehman,Turnover,
Brandon Austin,Steal,,,1 - 13:28,,,,
Jalen Jackson,Field Goal Made,,18-16,1 - 13:28,2 (L8),,,
Brandon Austin,Assist,,,1 - 13:28,,,,
,,,,1 - 13:28,,EJ Hubbard,Three Point Attempt,Ammar Rehman Offensive Rebound
,,,18-18,1 - 13:28,(T3),William Desilien,Field Goal Made,
Keith Charleston,Defensive Foul,,,1 - 13:28,,,,
,,,,1 - 13:28,,Daryle Morgan,Left the Game,Dan Milota Entered the Game
Treshaad Williams,Left the Game,Jordan Capps Entered the Game,,1 - 12:17,,,,
,,,18-19,1 - 12:17,-1 (L9),William Desilien,Free Throw Made,
Jordan Capps,Field Goal Attempt,,,1 - 12:04,,,,
,,,,1 - 12:02,,Christopher Boucher,Blocked shot,
,,,,1 - 11:59,,Christopher Boucher,Defensive Rebound,
Brandon Austin,Defensive Foul,,,1 - 11:52,,,,
,,Jordan Capps Defensive Rebound,,1 - 11:49,,William Desilien,Three Point Attempt,
Jalen Jackson,Field Goal Made,,20-19,1 - 11:38,1 (L10),,,
,,Jordan Capps Defensive Rebound,,1 - 11:21,,Ammar Rehman,Three Point Attempt,
Benji Bell,Three Point Attempt,Brandon Austin Offensive Rebound,,1 - 11:08,,,,
Keith Charleston,Field Goal Attempt,Keith Charleston Offensive Rebound,,1 - 10:56,,,,
Keith Charleston,Field Goal Attempt,,,1 - 10:53,,,,Dan Milota Defensive Rebound
,,Keith Charleston Defensive Rebound,,1 - 10:41,,Ammar Rehman,Field Goal Attempt,
Jalen Jackson,Field Goal Made,,22-19,1 - 10:34,3,,,
Keith Charleston,Assist,,,1 - 10:33,,,,
,,,,1 - 10:16,,Dan Milota,Turnover,
Jalen Jackson,Steal,,,1 - 10:15,,,,
Jalen Jackson,Offensive Foul,,,1 - 10:14,,,,
Jalen Jackson,Turnover,,,1 - 10:14,,,,
,,,,1 - 10:14,,Ammar Rehman,Left the Game,Tyler Chandler Entered the Game
Brandon Austin,Left the Game,Xavier Moon Entered the Game,,1 - 10:14,,,,
,,,22-22,1 - 10:02,(T4),Christopher Boucher,Three Point Made,
Benji Bell,Field Goal Attempt,Keith Charleston Offensive Rebound,,1 - 9:41,,,,
Keith Charleston,Field Goal Made,,24-22,1 - 9:38,2 (L11),,,
Benji Bell,Defensive Foul,,,1 - 9:27,,,,
,,,,1 - 9:27,,William Desilien,Left the Game,
,,,,1 - 9:27,,Dan Milota,Left the Game,Daryle Morgan Entered the Game
,,,,1 - 9:27,,Colin May,Entered the Game,
,,,,1 - 9:27,,William Desilien,Free Throw Attempt,NW College Offensive Rebound
,,,24-23,1 - 9:27,1,William Desilien,Free Throw Made,
Jalen Jackson,Turnover,,,1 - 9:05,,,,
,,,,1 - 9:04,,Christopher Boucher,Steal,
,,Xavier Moon Defensive Rebound,,1 - 8:51,,EJ Hubbard,Three Point Attempt,
