Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
1 Naiel Smith,Start Game,,,,,0 Blake Johnson,Start Game,
3 Candido Sa,Start Game,,,,,2 Jamonte Graham,Start Game,
5 Jevonlean Hedgeman,Start Game,,,,,10 Taljon Cromer,Start Game,
10 Willie Mangum,Start Game,,,,,22 Antoine Williams,Start Game,
22 Michael Carey,Start Game,,,,,32 Ramond Jenkins,Start Game,
1 Naiel Smith,Entered Game,Candido Sa Jump Ball Lost,,1 - 19:59,,Ramond Jenkins,Jump Ball Won,
3 Candido Sa,Entered Game,,,1 - 19:49,,Jamonte Graham,Turnover,
5 Jevonlean Hedgeman,Entered Game,,,1 - 19:48,,,,
10 Willie Mangum,Entered Game,,,1 - 19:46,,Ramond Jenkins,Defensive Foul,
22 Michael Carey,Entered Game,,1-0,1 - 19:46,1 (L1),,,
Willie Mangum,Free Throw Made,,2-0,1 - 19:46,2,,,
,,,2-2,1 - 19:34,(T1),Ramond Jenkins,Field Goal Made,
Willie Mangum,Three Point Made,,5-2,1 - 19:21,3 (L2),,,
,,,5-4,1 - 19:10,1,Taljon Cromer,Field Goal Made,
Willie Mangum,Three Point Attempt,,,1 - 18:52,,,,Ramond Jenkins Defensive Rebound
,,,5-7,1 - 18:45,-2 (L3),Jamonte Graham,Three Point Made,
,,,,1 - 18:44,,Taljon Cromer,Assist,
Willie Mangum,Turnover,,,1 - 18:33,,,,
,,,,1 - 18:20,,Antoine Williams,Turnover,
Jevonlean Hedgeman,Steal,,,1 - 18:19,,,,
,,,,1 - 18:18,,Antoine Williams,Defensive Foul,
Michael Carey,Free Throw Attempt,San Jacinto Offensive Rebound,,1 - 18:18,,,,
Michael Carey,Free Throw Attempt,,,1 - 18:18,,,,Ramond Jenkins Defensive Rebound
,,,5-9,1 - 18:10,-4,Blake Johnson,Field Goal Made,
Willie Mangum,Three Point Attempt,Michael Carey Offensive Rebound,,1 - 17:53,,,,
Michael Carey,Turnover,,,1 - 17:48,,,,
,,,,1 - 17:47,,Jamonte Graham,Steal,
,,,5-11,1 - 17:42,-6,Taljon Cromer,Field Goal Made,
,,,,1 - 17:47,,Jamonte Graham,Assist,
Candido Sa,Turnover,,,1 - 17:37,,,,
,,,,1 - 17:36,,Ramond Jenkins,Steal,
,,Candido Sa Defensive Rebound,,1 - 17:35,,Ramond Jenkins,Field Goal Attempt,
Naiel Smith,Three Point Made,,8-11,1 - 17:20,-3,,,
,,,,1 - 17:08,,Taljon Cromer,Field Goal Attempt,Jamonte Graham Offensive Rebound
,,,8-13,1 - 17:04,-5,Jamonte Graham,Field Goal Made,
Jevonlean Hedgeman,Field Goal Attempt,,,1 - 16:41,,,,Taljon Cromer Defensive Rebound
,,,,1 - 16:25,,Jamonte Graham,Turnover,
Jevonlean Hedgeman,Steal,,,1 - 16:24,,,,
Jevonlean Hedgeman,Field Goal Made,,10-13,1 - 16:21,-3,,,
Willie Mangum,Assist,,,1 - 16:20,,,,
,,,,1 - 15:57,,Jamonte Graham,Three Point Attempt,Antoine Williams Offensive Rebound
,,Michael Carey Defensive Rebound,,1 - 15:51,,Taljon Cromer,Field Goal Attempt,
Willie Mangum,Turnover,,,1 - 15:35,,,,
,,,,1 - 15:34,,Ramond Jenkins,Steal,
Willie Mangum,Defensive Foul,,,1 - 15:32,,,,
Michael Carey,Left the Game,Donte Thomas Entered the Game,,1 - 15:32,,,,
,,,,1 - 15:32,,Blake Johnson,Left the Game,
,,,,1 - 15:32,,Antoine Williams,Left the Game,
,,,,1 - 15:32,,Ramond Jenkins,Left the Game,TJ Dunans Entered the Game
,,,,1 - 15:32,,Immanuel Griggs,Entered the Game,
,,,,1 - 15:32,,Justin Pride,Entered the Game,
,,,,1 - 15:32,,Ramond Jenkins,Free Throw Attempt,Columbia State Offensive Rebound
,,,10-14,1 - 15:32,-4,Ramond Jenkins,Free Throw Made,
Candido Sa,Field Goal Made,,12-14,1 - 15:12,-2,,,
Willie Mangum,Assist,,,1 - 15:12,,,,
,,,,1 - 14:57,,TJ Dunans,Turnover,
,,,,1 - 14:57,,Jamonte Graham,Left the Game,Jamontae Davis Entered the Game
Naiel Smith,Field Goal Attempt,Candido Sa Offensive Rebound,,1 - 14:30,,,,
Candido Sa,Field Goal Attempt,Jevonlean Hedgeman Offensive Rebound,,1 - 14:28,,,,
,,,,1 - 14:28,,Immanuel Griggs,Jump Ball Won,
Candido Sa,Left the Game,Sadiq Inuwa Entered the Game,,1 - 14:26,,,,
Donte Thomas,Turnover,,,1 - 14:16,,,,
Willie Mangum,Left the Game,Michael Hunter Entered the Game,,1 - 14:10,,,,
,,,,1 - 13:59,,TJ Dunans,Turnover,
Jevonlean Hedgeman,Three Point Attempt,Michael Hunter Offensive Rebound,,1 - 13:42,,,,
Donte Thomas,Field Goal Made,,14-14,1 - 13:25,(T2),,,
,,,14-17,1 - 13:15,-3 (L4),Jamontae Davis,Three Point Made,
,,,,1 - 13:14,,Justin Pride,Assist,
Sadiq Inuwa,Field Goal Attempt,,,1 - 12:53,,,,TJ Dunans Defensive Rebound
,,,14-20,1 - 12:43,-6,TJ Dunans,Three Point Made,
,,,,1 - 12:42,,Justin Pride,Assist,
Donte Thomas,Three Point Made,,17-20,1 - 12:10,-3,,,
Naiel Smith,Assist,,,1 - 12:09,,,,
,,,,1 - 11:49,,TJ Dunans,Turnover,
Sadiq Inuwa,Steal,,,1 - 11:48,,,,
,,,,1 - 11:42,,TJ Dunans,Defensive Foul,
Naiel Smith,Left the Game,Michael Carey Entered the Game,,1 - 11:42,,,,
,,,,1 - 11:42,,TJ Dunans,Left the Game,
,,,,1 - 11:42,,Taljon Cromer,Left the Game,
,,,,1 - 11:42,,Jamontae Davis,Left the Game,
,,,,1 - 11:42,,Immanuel Griggs,Left the Game,
,,,,1 - 11:42,,Justin Pride,Left the Game,TJ Dunans Entered the Game
,,,,1 - 11:42,,AJ Dodd,Entered the Game,
,,,,1 - 11:42,,Jamontae Davis,Entered the Game,
,,,,1 - 11:42,,Immanuel Griggs,Entered the Game,
,,,,1 - 11:42,,Justin Pride,Entered the Game,
,,,,1 - 11:38,,Immanuel Griggs,Defensive Foul,
Donte Thomas,Free Throw Made,,18-20,1 - 11:38,-2,,,
Donte Thomas,Free Throw Made,,19-20,1 - 11:38,-1,,,
,,Michael Carey Defensive Rebound,,1 - 11:25,,AJ Dodd,Three Point Attempt,
Donte Thomas,Three Point Made,,22-20,1 - 11:06,2 (L5),,,
Michael Carey,Assist,,,1 - 11:05,,,,
,,,,1 - 10:50,,Immanuel Griggs,Turnover,
Michael Hunter,Steal,,,1 - 10:49,,,,
Michael Hunter,Left the Game,Willie Mangum Entered the Game,,1 - 10:47,,,,
Willie Mangum,Field Goal Made,,24-20,1 - 10:47,4,,,
Donte Thomas,Assist,,,1 - 10:47,,,,
Jevonlean Hedgeman,Left the Game,,,1 - 10:47,,,,
Willie Mangum,Left the Game,,,1 - 10:47,,,,
Michael Carey,Left the Game,,,1 - 10:47,,,,
Donte Thomas,Left the Game,,,1 - 10:47,,,,
Sadiq Inuwa,Left the Game,Willie Mangum Entered the Game,,1 - 10:47,,,,
Michael Hunter,Entered the Game,,,1 - 10:47,,,,
Michael Carey,Entered the Game,,,1 - 10:47,,,,
Donte Thomas,Entered the Game,,,1 - 10:47,,,,
Sadiq Inuwa,Entered the Game,,,1 - 10:47,,,,
,,,,1 - 10:47,,TJ Dunans,Left the Game,Jamonte Graham Entered the Game
,,,,1 - 10:47,,Jamonte Graham,Left the Game,
,,,,1 - 10:47,,AJ Dodd,Left the Game,
,,,,1 - 10:47,,Jamontae Davis,Left the Game,
,,,,1 - 10:47,,Immanuel Griggs,Left the Game,
,,,,1 - 10:47,,Justin Pride,Left the Game,TJ Dunans Entered the Game
,,,,1 - 10:47,,Jamonte Graham,Entered the Game,
,,,,1 - 10:47,,Immanuel Griggs,Entered the Game,
,,,,1 - 10:47,,AJ Dodd,Entered the Game,
,,,,1 - 10:47,,Justin Pride,Entered the Game,
