Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
0 Jerron Martin,Start Game,,,,,1 Tyrell Bellot-Green,Start Game,
1 Andre Spight,Start Game,,,,,3 Marcus Johnson Jr.,Start Game,
15 Emmanuel Omogbo,Start Game,,,,,5 Coris Williams Jr.,Start Game,
22 Brandon Neel,Start Game,,,,,21 Jemerrio Jones,Start Game,
4 David Kadiri,Start Game,,,,,32 Kristian Keys,Start Game,
David Kadiri,Jump Ball Won,,,1 - 20:00,,3 Marcus Johnson Jr.,Entered Game,Tyrell Bellot-Green Jump Ball Lost
Brandon Neel,Three Point Made,,3-0,1 - 19:34,3 (L1),5 Coris Williams Jr.,Entered Game,
Emmanuel Omogbo,Assist,,,1 - 19:33,,21 Jemerrio Jones,Entered Game,
,,,,1 - 19:24,,32 Kristian Keys,Entered Game,
Brandon Neel,Blocked shot,,,1 - 19:22,,1 Tyrell Bellot-Green,Entered Game,
Emmanuel Omogbo,Defensive Rebound,,,1 - 19:21,,,,
,,,,1 - 19:16,,Coris Williams Jr.,Defensive Foul,
Emmanuel Omogbo,Free Throw Attempt,South Plains Offensive Rebound,,1 - 19:16,,,,
Emmanuel Omogbo,Free Throw Attempt,,,1 - 19:16,,,,Coris Williams Jr. Defensive Rebound
,,South Plains Defensive Rebound,,1 - 19:09,,Kristian Keys,Three Point Attempt,
Brandon Neel,Three Point Attempt,,,1 - 18:46,,,,Marcus Johnson Jr. Defensive Rebound
,,,3-3,1 - 18:29,(T1),Tyrell Bellot-Green,Three Point Made,
,,,,1 - 18:28,,Coris Williams Jr.,Assist,
Brandon Neel,Field Goal Attempt,,,1 - 17:58,,,,Tyrell Bellot-Green Defensive Rebound
,,,3-5,1 - 17:51,-2 (L2),Coris Williams Jr.,Field Goal Made,
,,,,1 - 17:51,,Marcus Johnson Jr.,Assist,
Emmanuel Omogbo,Field Goal Made,,5-5,1 - 17:32,(T2),,,
,,Brandon Neel Defensive Rebound,,1 - 17:19,,Marcus Johnson Jr.,Field Goal Attempt,
Andre Spight,Field Goal Attempt,David Kadiri Offensive Rebound,,1 - 17:12,,,,
