Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
0 Jerron Martin,Start Game,,,,,1 Treshaad Williams,Start Game,
1 Andre Spight,Start Game,,,,,4 Jalen Jackson,Start Game,
4 David Kadiri,Start Game,,,,,5 Brandon Austin,Start Game,
15 Emmanuel Omogbo,Start Game,,,,,22 Benji Bell,Start Game,
22 Brandon Neel,Start Game,,,,,41 William Pfister,Start Game,
,,David Kadiri Jump Ball Lost,,1 - 19:58,,1 Treshaad Williams,Entered Game,
,,,0-3,1 - 19:51,-3 (L1),4 Jalen Jackson,Entered Game,
,,,,1 - 19:51,,5 Brandon Austin,Entered Game,
Jerron Martin,Field Goal Attempt,,,1 - 19:27,,22 Benji Bell,Entered Game,
,,,,1 - 19:25,,41 William Pfister,Entered Game,
,,,,1 - 19:24,,Benji Bell,Defensive Rebound,
,,,0-6,1 - 19:19,-6,Benji Bell,Three Point Made,
,,,,1 - 19:19,,Brandon Austin,Assist,
Andre Spight,Three Point Attempt,,,1 - 19:05,,,,NW Florida Defensive Rebound
,,,,1 - 18:49,,Jalen Jackson,Field Goal Attempt,
David Kadiri,Blocked shot,,,1 - 18:47,,,,
Emmanuel Omogbo,Defensive Rebound,,,1 - 18:46,,,,
Andre Spight,Field Goal Attempt,David Kadiri Offensive Rebound,,1 - 18:43,,,,
David Kadiri,Field Goal Made,,2-6,1 - 18:42,-4,,,
,,Emmanuel Omogbo Defensive Rebound,,1 - 18:33,,Brandon Austin,Three Point Attempt,
,,,,1 - 18:19,,William Pfister,Defensive Foul,
Brandon Neel,Turnover,,,1 - 18:07,,,,
,,,,1 - 18:07,,Jalen Jackson,Steal,
,,,,1 - 18:00,,Treshaad Williams,Field Goal Attempt,
David Kadiri,Blocked shot,,,1 - 17:59,,,,
Jerron Martin,Defensive Rebound,,,1 - 17:57,,,,
Andre Spight,Three Point Attempt,Brandon Neel Offensive Rebound,,1 - 17:50,,,,
Brandon Neel,Field Goal Attempt,,,1 - 17:49,,,,Brandon Austin Defensive Rebound
,,,2-8,1 - 17:47,-6,Brandon Austin,Field Goal Made,
Jerron Martin,Defensive Foul,,,1 - 17:47,,,,
,,Emmanuel Omogbo Defensive Rebound,,1 - 17:47,,Brandon Austin,Free Throw Attempt,
Andre Spight,Field Goal Attempt,,,1 - 17:37,,,,William Pfister Defensive Rebound
,,,2-10,1 - 17:30,-8,Benji Bell,Field Goal Made,
Jerron Martin,Left the Game,,,1 - 17:25,,,,
Andre Spight,Left the Game,,,1 - 17:25,,,,
David Kadiri,Left the Game,,,1 - 17:25,,,,
Emmanuel Omogbo,Left the Game,,,1 - 17:25,,,,
Brandon Neel,Left the Game,Andre Horne Entered the Game,,1 - 17:25,,,,
Jerron Martin,Entered the Game,,,1 - 17:25,,,,
David Kadiri,Entered the Game,,,1 - 17:25,,,,
Emmanuel Omogbo,Entered the Game,,,1 - 17:25,,,,
Brandon Neel,Entered the Game,,,1 - 17:25,,,,
,,,,1 - 17:04,,Jalen Jackson,Defensive Foul,
David Kadiri,Field Goal Made,,4-10,1 - 17:03,-6,,,
Jerron Martin,Assist,,,1 - 17:03,,,,
,,David Kadiri Defensive Rebound,,1 - 16:48,,Benji Bell,Three Point Attempt,
Jerron Martin,Three Point Made,,7-10,1 - 16:38,-3,,,
,,,,1 - 16:29,,Brandon Austin,Turnover,
,,,,1 - 16:18,,William Pfister,Defensive Foul,
David Kadiri,Field Goal Attempt,,,1 - 16:01,,,,
,,,,1 - 15:59,,Brandon Austin,Blocked shot,
,,,,1 - 15:58,,Treshaad Williams,Defensive Rebound,
Brandon Neel,Defensive Foul,,,1 - 15:49,,,,
Brandon Neel,Defensive Foul,,,1 - 15:43,,,,
Brandon Neel,Left the Game,Pat Birt Entered the Game,,1 - 15:43,,,,
,,,7-11,1 - 15:43,-4,Brandon Austin,Free Throw Made,
,,,7-12,1 - 15:43,-5,Brandon Austin,Free Throw Made,
Andre Horne,Three Point Attempt,South Plains Offensive Rebound,,1 - 15:11,,,,
Emmanuel Omogbo,Field Goal Attempt,,,1 - 15:06,,,,
,,,,1 - 15:05,,Brandon Austin,Blocked shot,
,,,,1 - 15:04,,Jalen Jackson,Defensive Rebound,
,,,7-14,1 - 15:02,-7,Jalen Jackson,Field Goal Made,
Emmanuel Omogbo,Field Goal Attempt,,,1 - 14:50,,,,Brandon Austin Defensive Rebound
,,,7-17,1 - 14:43,-10,Benji Bell,Three Point Made,
,,,,1 - 14:42,,Brandon Austin,Assist,
Jerron Martin,Left the Game,,,1 - 14:42,,,,
David Kadiri,Left the Game,,,1 - 14:42,,,,
Pat Birt,Left the Game,,,1 - 14:42,,,,
Emmanuel Omogbo,Left the Game,,,1 - 14:42,,,,
Andre Horne,Left the Game,Marlon Jones Entered the Game,,1 - 14:42,,,,
David Kadiri,Entered the Game,,,1 - 14:42,,,,
Andre Horne,Entered the Game,,,1 - 14:42,,,,
Pat Birt,Entered the Game,,,1 - 14:42,,,,
Jerron Martin,Entered the Game,,,1 - 14:42,,,,
Andre Horne,Three Point Attempt,,,1 - 14:10,,,,William Pfister Defensive Rebound
,,,7-19,1 - 13:57,-12,Jalen Jackson,Field Goal Made,
David Kadiri,Field Goal Made,,9-19,1 - 13:50,-10,,,
Jerron Martin,Assist,,,1 - 13:50,,,,
,,,,1 - 13:50,,Brandon Austin,Defensive Foul,
,,,,1 - 13:50,,Brandon Austin,Left the Game,Keith Charleston Entered the Game
,,,,1 - 13:50,,William Pfister,Left the Game,Brandon Austin Entered the Game
David Kadiri,Free Throw Made,,10-19,1 - 13:50,-9,,,
,,Pat Birt Defensive Rebound,,1 - 13:31,,Brandon Austin,Three Point Attempt,
Pat Birt,Field Goal Attempt,,,1 - 13:24,,,,NW Florida Defensive Rebound
,,,,1 - 13:02,,Keith Charleston,Field Goal Attempt,
David Kadiri,Blocked shot,,,1 - 13:01,,,,
,,,,1 - 13:00,,Treshaad Williams,Offensive Rebound,
,,,,1 - 13:00,,Treshaad Williams,Field Goal Attempt,
David Kadiri,Blocked shot,,,1 - 13:00,,,,
,,,10-21,1 - 12:50,-11,Benji Bell,Field Goal Made,
Pat Birt,Three Point Attempt,,,1 - 12:34,,,,Keith Charleston Defensive Rebound
,,,,1 - 12:32,,Keith Charleston,Turnover,
Pat Birt,Steal,,,1 - 12:32,,,,
Pat Birt,Jump Ball Won,,,1 - 12:32,,,,
Jerron Martin,Left the Game,,,1 - 12:32,,,,
David Kadiri,Left the Game,,,1 - 12:32,,,,
Pat Birt,Left the Game,Andre Spight Entered the Game,,1 - 12:32,,,,
Diamante Langston,Entered the Game,,,1 - 12:32,,,,
Emmanuel Omogbo,Entered the Game,,,1 - 12:32,,,,
Emmanuel Omogbo,Turnover,,,1 - 12:21,,,,
,,South Plains Defensive Rebound,,1 - 12:06,,Jalen Jackson,Field Goal Attempt,
,,,,1 - 12:05,,Treshaad Williams,Defensive Foul,
Marlon Jones,Field Goal Attempt,Emmanuel Omogbo Offensive Rebound,,1 - 11:45,,,,
Emmanuel Omogbo,Field Goal Made,,12-21,1 - 11:45,-9,,,
,,,,1 - 11:45,,Keith Charleston,Defensive Foul,
Emmanuel Omogbo,Free Throw Made,,13-21,1 - 11:45,-8,,,
,,,13-24,1 - 11:25,-11,Jalen Jackson,Three Point Made,
Andre Horne,Field Goal Attempt,,,1 - 11:05,,,,Jalen Jackson Defensive Rebound
Andre Horne,Defensive Foul,,,1 - 11:00,,,,
Andre Horne,Left the Game,Brandon Neel Entered the Game,,1 - 11:00,,,,
Brandon Neel,Left the Game,Lincoln Davis Entered the Game,,1 - 11:00,,,,
Andre Spight,Left the Game,Andre Horne Entered the Game,,1 - 11:00,,,,
,,,13-26,1 - 10:50,-13,Keith Charleston,Field Goal Made,
,,,,1 - 10:50,,Benji Bell,Assist,
Andre Horne,Three Point Made,,16-26,1 - 10:26,-10,,,
Lincoln Davis,Assist,,,1 - 10:22,,,,
,,,16-28,1 - 10:03,-12,Treshaad Williams,Field Goal Made,
,,,,1 - 10:02,,Benji Bell,Assist,
Emmanuel Omogbo,Field Goal Made,,18-28,1 - 9:48,-10,,,
,,,,1 - 9:00,,Treshaad Williams,Defensive Foul,
Marlon Jones,Defensive Foul,,,1 - 9:00,,,,
,,,,1 - 9:00,,Treshaad Williams,Left the Game,Jordan Capps Entered the Game
,,,,1 - 8:53,,Jalen Jackson,Field Goal Attempt,Jordan Capps Offensive Rebound
,,,,1 - 8:49,,Jordan Capps,Field Goal Attempt,
Emmanuel Omogbo,Blocked shot,,,1 - 8:48,,,,
Diamante Langston,Defensive Rebound,,,1 - 8:47,,,,
Andre Horne,Three Point Made,,21-28,1 - 8:42,-7,,,
Diamante Langston,Assist,,,1 - 8:41,,,,
Diamante Langston,Defensive Foul,,,1 - 8:14,,,,
,,Marlon Jones Defensive Rebound,,1 - 8:07,,Benji Bell,Three Point Attempt,
Marlon Jones,Field Goal Made,,23-28,1 - 7:41,-5,,,
,,,,1 - 7:21,,Jalen Jackson,Offensive Foul,
,,,,1 - 7:21,,Jalen Jackson,Turnover,
,,,,1 - 7:21,,Jalen Jackson,Left the Game,Xavier Moon Entered the Game
Lincoln Davis,Charge,,,1 - 7:12,,,,
