Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
0 Jerron Martin,Start Game,,,,,4 Charles Foster,Start Game,
1 Andre Spight,Start Game,,,,,20 Everett Clemons,Start Game,
4 David Kadiri,Start Game,,,,,22 Makur Puou,Start Game,
15 Emmanuel Omogbo,Start Game,,,1 - 20:00,,Makur Puou,Left the Game,Makur Puou Entered the Game
22 Brandon Neel,Start Game,,,,,32 A.J. Patty,Start Game,
0 Jerron Martin,Entered Game,,,1 - 20:00,,A.J. Patty,Left the Game,A.J. Patty Entered the Game
1 Andre Spight,Entered Game,,,,,33 Mychal Mulder,Start Game,
4 David Kadiri,Entered Game,,,1 - 19:59,,,,Makur Puou Jump Ball Lost
15 Emmanuel Omogbo,Entered Game,,,1 - 19:48,,,,
22 Brandon Neel,Entered Game,,0-2,1 - 19:37,-2 (L1),Mychal Mulder,Field Goal Made,
,,,,1 - 19:36,,Everett Clemons,Assist,
Andre Spight,Three Point Made,,3-2,1 - 19:10,1 (L2),,,
,,,,1 - 18:56,,Charles Foster,Field Goal Attempt,
David Kadiri,Blocked shot,,,1 - 18:56,,,,
,,,,1 - 18:33,,Makur Puou,Defensive Foul,
,,,,1 - 18:33,,Charles Foster,Left the Game,Donte` McGill Entered the Game
Andre Spight,Three Point Made,,6-2,1 - 18:27,4,,,
,,,6-4,1 - 18:07,2,Everett Clemons,Field Goal Made,
Jerron Martin,Three Point Attempt,Brandon Neel Offensive Rebound,,1 - 17:56,,,,
Brandon Neel,Field Goal Attempt,,,1 - 17:53,,,,
,,,,1 - 17:49,,Mychal Mulder,Blocked shot,
,,,,1 - 17:48,,Everett Clemons,Defensive Rebound,
,,,,1 - 17:47,,A.J. Patty,Technical Foul,
David Kadiri,Technical Foul,,,1 - 17:47,,,,
,,,,1 - 17:39,,Donte` McGill,Field Goal Attempt,
Andre Spight,Blocked shot,,,1 - 17:37,,,,
,,,,1 - 17:36,,Makur Puou,Offensive Rebound,
,,Brandon Neel Defensive Rebound,,1 - 17:28,,Makur Puou,Field Goal Attempt,
Andre Spight,Field Goal Made,,8-4,1 - 17:17,4,,,
,,,8-6,1 - 16:49,2,Donte` McGill,Field Goal Made,
,,,,1 - 16:35,,Everett Clemons,Defensive Foul,
David Kadiri,Free Throw Made,,9-6,1 - 16:35,3,,,
David Kadiri,Free Throw Attempt,,,1 - 16:35,,,,Donte` McGill Defensive Rebound
,,,,1 - 16:13,,Makur Puou,Field Goal Attempt,Makur Puou Offensive Rebound
,,Brandon Neel Defensive Rebound,,1 - 16:00,,Everett Clemons,Field Goal Attempt,
Andre Spight,Three Point Made,,12-6,1 - 15:52,6,,,
Brandon Neel,Assist,,,1 - 15:51,,,,
David Kadiri,Left the Game,Marlon Jones Entered the Game,,1 - 15:28,,,,
,,,,1 - 15:28,,Everett Clemons,Left the Game,Charles Foster Entered the Game
,,Emmanuel Omogbo Defensive Rebound,,1 - 15:22,,Charles Foster,Field Goal Attempt,
Emmanuel Omogbo,Field Goal Attempt,,,1 - 15:08,,,,A.J. Patty Defensive Rebound
,,Marlon Jones Defensive Rebound,,1 - 14:54,,A.J. Patty,Field Goal Attempt,
Andre Spight,Three Point Attempt,,,1 - 14:47,,,,Charles Foster Defensive Rebound
,,Emmanuel Omogbo Defensive Rebound,,1 - 14:30,,A.J. Patty,Field Goal Attempt,
Marlon Jones,Field Goal Attempt,,,1 - 14:10,,,,A.J. Patty Defensive Rebound
,,,12-9,1 - 14:04,3,Charles Foster,Three Point Made,
Jerron Martin,Left the Game,,,1 - 14:00,,,,
Andre Spight,Left the Game,,,1 - 14:00,,,,
Emmanuel Omogbo,Left the Game,,,1 - 14:00,,,,
Brandon Neel,Left the Game,,,1 - 14:00,,,,
Marlon Jones,Left the Game,Pedro Konofino Entered the Game,,1 - 14:00,,,,
Andre Spight,Entered the Game,,,1 - 14:00,,,,
Marlon Jones,Entered the Game,,,1 - 14:00,,,,
Diamante Langston,Entered the Game,,,1 - 14:00,,,,
Brandon Neel,Entered the Game,,,1 - 14:00,,,,
Andre Spight,Field Goal Made,,14-9,1 - 14:00,5,,,
,,,,1 - 14:00,,Donte` McGill,Left the Game,
,,,,1 - 14:00,,Charles Foster,Left the Game,
