Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
4 Jhaustin Thomas,Start Game,,,,,1 Will Tavares,Start Game,
11 Dedrick Basile,Start Game,,,,,2 Thomas Rivera,Start Game,
13 Clarence Williams,Start Game,,,,,5 Joel Angus III,Start Game,
15 Shelton Hagigal,Start Game,,,,,22 Lukas Landgren,Start Game,
24 Aldonis foote,Start Game,,,,,23 Keith Harris,Start Game,
13 Clarence Williams,Entered Game,,,1 - 20:00,,Thomas Rivera,Free Throw Attempt,Monroe College Offensive Rebound
11 Dedrick Basile,Entered Game,,0-1,1 - 20:00,-1 (L1),Thomas Rivera,Free Throw Made,
24 Aldonis foote,Entered Game,Clarence Williams Jump Ball Lost,,1 - 20:00,,Lukas Landgren,Jump Ball Won,
0 Nicholai Brown,Entered Game,,0-4,1 - 19:30,-4,Keith Harris,Three Point Made,
,,,,1 - 19:30,,Will Tavares,Assist,
Clarence Williams,Turnover,,,1 - 19:14,,,,
,,,,1 - 19:13,,Keith Harris,Steal,
,,Aldonis foote Defensive Rebound,,1 - 19:03,,Lukas Landgren,Field Goal Attempt,
Shelton Hagigal,Three Point Made,,3-4,1 - 18:56,-1,,,
Dedrick Basile,Assist,,,1 - 18:56,,,,
Dedrick Basile,Defensive Foul,,,1 - 18:46,,,,
,,,,1 - 18:30,,Thomas Rivera,Field Goal Attempt,
Jhaustin Thomas,Blocked shot,,,1 - 18:29,,,,
,,,,1 - 18:28,,Thomas Rivera,Offensive Rebound,
,,,3-7,1 - 18:26,-4,Will Tavares,Three Point Made,
,,,,1 - 18:25,,Lukas Landgren,Assist,
Jhaustin Thomas,Offensive Foul,,,1 - 18:09,,,,
Jhaustin Thomas,Turnover,,,1 - 18:09,,,,
,,,,1 - 17:53,,Lukas Landgren,Three Point Attempt,Keith Harris Offensive Rebound
,,,3-10,1 - 17:48,-7,Keith Harris,Three Point Made,
,,,,1 - 17:48,,Thomas Rivera,Assist,
Aldonis foote,Three Point Attempt,,,1 - 17:47,,,,Will Tavares Defensive Rebound
,,,3-12,1 - 17:47,-9,Thomas Rivera,Field Goal Made,
Dedrick Basile,Field Goal Attempt,,,1 - 17:47,,,,Joel Angus III Defensive Rebound
,,Jhaustin Thomas Defensive Rebound,,1 - 17:47,,Keith Harris,Three Point Attempt,
,,,,1 - 16:37,,Keith Harris,Defensive Foul,
Jhaustin Thomas,Left the Game,,,1 - 16:37,,,,
Aldonis foote,Left the Game,Nicholai Brown Entered the Game,,1 - 16:37,,,,
Melvin Swift,Entered the Game,,,1 - 16:37,,,,
Clarence Williams,Free Throw Made,,4-12,1 - 16:37,-8,,,
Clarence Williams,Free Throw Attempt,,,1 - 16:37,,,,Lukas Landgren Defensive Rebound
,,,4-14,1 - 16:25,-10,Keith Harris,Field Goal Made,
,,,,1 - 16:22,,Thomas Rivera,Assist,
Melvin Swift,Three Point Attempt,,,1 - 16:14,,,,Joel Angus III Defensive Rebound
,,,4-16,1 - 16:00,-12,Joel Angus III,Field Goal Made,
Nicholai Brown,Field Goal Attempt,,,1 - 15:45,,,,Monroe College Defensive Rebound
Clarence Williams,Left the Game,Devante Jackson Entered the Game,,1 - 15:42,,,,
Melvin Swift,Left the Game,Preston Anderson Entered the Game,,1 - 15:42,,,,
,,,4-18,1 - 15:33,-14,Joel Angus III,Field Goal Made,
,,,,1 - 15:32,,Will Tavares,Assist,
Dedrick Basile,Three Point Attempt,,,1 - 15:15,,,,Keith Harris Defensive Rebound
,,,4-20,1 - 14:53,-16,Joel Angus III,Field Goal Made,
,,,,1 - 14:52,,Thomas Rivera,Assist,
,,,,1 - 14:38,,Keith Harris,Defensive Foul,
Preston Anderson,Left the Game,Aldonis foote Entered the Game,,1 - 14:38,,,,
,,,,1 - 14:38,,Keith Harris,Left the Game,Ran Tut Entered the Game
Devante Jackson,Free Throw Made,,5-20,1 - 14:38,-15,,,
Devante Jackson,Free Throw Attempt,Devante Jackson Offensive Rebound,,1 - 14:38,,,,
Dedrick Basile,Three Point Made,,8-20,1 - 14:29,-12,,,
,,Shelton Hagigal Defensive Rebound,,1 - 14:08,,Lukas Landgren,Three Point Attempt,
Dedrick Basile,Three Point Attempt,,,1 - 13:59,,,,Thomas Rivera Defensive Rebound
,,,,1 - 13:51,,Will Tavares,Turnover,
Devante Jackson,Steal,,,1 - 13:50,,,,
Shelton Hagigal,Three Point Made,,11-20,1 - 13:44,-9,,,
,,,,1 - 13:10,,Ran Tut,Turnover,
Dedrick Basile,Left the Game,Dilepso Blanco Entered the Game,,1 - 13:10,,,,
Dilepso Blanco,Turnover,,,1 - 12:55,,,,
,,,,1 - 12:55,,Thomas Rivera,Steal,
,,,11-22,1 - 12:52,-11,Will Tavares,Field Goal Made,
,,,,1 - 12:51,,Thomas Rivera,Assist,
Dilepso Blanco,Left the Game,Dedrick Basile Entered the Game,,1 - 12:34,,,,
Shelton Hagigal,Three Point Made,,14-22,1 - 12:26,-8,,,
Dedrick Basile,Assist,,,1 - 12:26,,,,
Shelton Hagigal,Technical Foul,,,1 - 12:25,,,,
Shelton Hagigal,Left the Game,Preston Anderson Entered the Game,,1 - 12:25,,,,
,,,,1 - 12:25,,Thomas Rivera,Free Throw Attempt,Monroe College Offensive Rebound
,,,14-23,1 - 12:25,-9,Thomas Rivera,Free Throw Made,
,,,14-25,1 - 12:07,-11,Lukas Landgren,Field Goal Made,
,,,,1 - 12:06,,Will Tavares,Assist,
Dedrick Basile,Three Point Attempt,Nicholai Brown Offensive Rebound,,1 - 11:54,,,,
Nicholai Brown,Turnover,,,1 - 11:46,,,,
,,,,1 - 11:46,,Lukas Landgren,Left the Game,Shackquiel Scott Entered the Game
Nicholai Brown,Left the Game,,,1 - 11:46,,,,
Devante Jackson,Left the Game,Jhaustin Thomas Entered the Game,,1 - 11:46,,,,
Clarence Williams,Entered the Game,,,1 - 11:46,,,,
,,,,1 - 11:34,,Joel Angus III,Field Goal Attempt,Will Tavares Offensive Rebound
Aldonis foote,Defensive Foul,,,1 - 11:34,,,,
Aldonis foote,Left the Game,Melvin Swift Entered the Game,,1 - 11:34,,,,
,,,,1 - 11:34,,Thomas Rivera,Left the Game,Jaylen Benton Entered the Game
,,Clarence Williams Defensive Rebound,,1 - 11:30,,Joel Angus III,Field Goal Attempt,
,,,,1 - 11:30,,Joel Angus III,Defensive Foul,
Clarence Williams,Field Goal Attempt,,,1 - 11:09,,,,Jaylen Benton Defensive Rebound
Dedrick Basile,Defensive Foul,,,1 - 11:08,,,,
Dedrick Basile,Left the Game,Dilepso Blanco Entered the Game,,1 - 11:08,,,,
,,,14-28,1 - 10:54,-14,Ran Tut,Three Point Made,
,,,,1 - 10:53,,Will Tavares,Assist,
Dilepso Blanco,Three Point Attempt,,,1 - 10:34,,,,Ran Tut Defensive Rebound
Preston Anderson,Defensive Foul,,,1 - 10:11,,,,
,,,,1 - 10:11,,Will Tavares,Left the Game,Thomas Rivera Entered the Game
