Name,Action,Play Notes,Score,Clock,Diff,Name,Action,Play Notes
4 Charles Foster,Start Game,,,,,1 Arell Hennings,Start Game,
20 Everett Clemons,Start Game,,,,,2 Jordan Martin,Start Game,
22 Makur Puou,Start Game,,,,,11 Daniel Hernandez,Start Game,
32 A.J. Patty,Start Game,,,,,12 Emanuel Shepherd,Start Game,
33 Mychal Mulder,Start Game,,,,,25 DJ Blackmon,Start Game,
Makur Puou,Jump Ball Won,,,1 - 19:58,,2 Jordan Martin,Entered Game,Emanuel Shepherd Jump Ball Lost
A.J. Patty,Field Goal Made,,2-0,1 - 19:42,2 (L1),25 DJ Blackmon,Entered Game,
Everett Clemons,Assist,,,1 - 19:42,,11 Daniel Hernandez,Entered Game,
,,,2-2,1 - 19:21,(T1),12 Emanuel Shepherd,Entered Game,
,,,,1 - 19:21,,Emanuel Shepherd,Assist,
Charles Foster,Field Goal Attempt,,,1 - 19:03,,,,DJ Blackmon Defensive Rebound
,,,,1 - 18:55,,Arell Hennings,Turnover,
A.J. Patty,Field Goal Made,,4-2,1 - 18:42,2 (L2),,,
,,,,1 - 18:41,,Daniel Hernandez,Left the Game,Jawan Stepney Entered the Game
,,,,1 - 18:24,,Jordan Martin,Three Point Attempt,Emanuel Shepherd Offensive Rebound
,,Mychal Mulder Defensive Rebound,,1 - 18:20,,Arell Hennings,Three Point Attempt,
A.J. Patty,Field Goal Made,,6-2,1 - 18:08,4,,,
Everett Clemons,Assist,,,1 - 18:07,,,,
Charles Foster,Defensive Foul,,,1 - 17:53,,,,
,,,,1 - 17:53,,Emanuel Shepherd,Left the Game,Jaben Garrett Entered the Game
,,,6-3,1 - 17:53,3,Arell Hennings,Free Throw Made,
,,,6-4,1 - 17:53,2,Arell Hennings,Free Throw Made,
Charles Foster,Turnover,,,1 - 17:51,,,,
,,,,1 - 17:50,,Arell Hennings,Steal,
,,,,1 - 17:47,,Jordan Martin,Three Point Attempt,Jordan Martin Offensive Rebound
,,,6-6,1 - 17:45,(T2),Jordan Martin,Field Goal Made,
A.J. Patty,Field Goal Made,,8-6,1 - 17:25,2 (L3),,,
Charles Foster,Assist,,,1 - 17:23,,,,
,,,8-8,1 - 17:13,(T3),Jaben Garrett,Field Goal Made,
,,,,1 - 17:13,,DJ Blackmon,Assist,
A.J. Patty,Field Goal Attempt,,,1 - 16:58,,,,DJ Blackmon Defensive Rebound
,,,,1 - 16:25,,Arell Hennings,Three Point Attempt,
Charles Foster,Blocked shot,,,1 - 16:23,,,,
Makur Puou,Defensive Rebound,,,1 - 16:23,,,,
,,,,1 - 16:16,,Jaben Garrett,Defensive Foul,
Charles Foster,Left the Game,,,1 - 16:16,,,,
Makur Puou,Left the Game,Donte` McGill Entered the Game,,1 - 16:16,,,,
Keith Mack,Entered the Game,,,1 - 16:16,,,,
,,,,1 - 16:16,,Jordan Martin,Left the Game,
,,,,1 - 16:16,,DJ Blackmon,Left the Game,Daniel Hernandez Entered the Game
,,,,1 - 16:16,,Loic Jouve,Entered the Game,
A.J. Patty,Free Throw Attempt,Vincennes Offensive Rebound,,1 - 16:16,,,,
A.J. Patty,Free Throw Made,,9-8,1 - 16:16,1 (L4),,,
,,Everett Clemons Defensive Rebound,,1 - 15:54,,Daniel Hernandez,Three Point Attempt,
Donte` McGill,Three Point Made,,12-8,1 - 15:46,4,,,
Everett Clemons,Assist,,,1 - 15:42,,,,
,,,12-11,1 - 15:31,1,Arell Hennings,Three Point Made,
A.J. Patty,Field Goal Made,,14-11,1 - 15:20,3,,,
Donte` McGill,Assist,,,1 - 15:20,,,,
,,,,1 - 15:09,,Loic Jouve,Left the Game,Justin Jones Entered the Game
,,Donte` McGill Defensive Rebound,,1 - 15:09,,Justin Jones,Three Point Attempt,
Donte` McGill,Three Point Attempt,Mychal Mulder Offensive Rebound,,1 - 15:09,,,,
Mychal Mulder,Field Goal Attempt,Mychal Mulder Offensive Rebound,,1 - 15:09,,,,
Mychal Mulder,Field Goal Made,,16-11,1 - 15:09,5,,,
,,,,1 - 15:09,,Arell Hennings,Left the Game,
,,,,1 - 15:09,,Jawan Stepney,Left the Game,
,,,,1 - 15:09,,Daniel Hernandez,Left the Game,
,,,,1 - 15:09,,Justin Jones,Left the Game,
,,,,1 - 15:09,,Jaben Garrett,Left the Game,Arell Hennings Entered the Game
,,,,1 - 15:09,,Justin Jones,Entered the Game,
,,,,1 - 15:09,,Emanuel Shepherd,Entered the Game,
,,,,1 - 15:09,,Loic Jouve,Entered the Game,
,,,16-13,1 - 15:09,3,Emanuel Shepherd,Field Goal Made,
,,,,1 - 15:09,,Arell Hennings,Assist,
