PlayerName,Team,Games,Min,Season,WS,Salary,SalaryCap,TeamsTotalMinutes,SVR
Al Horford,ATL,76,2318,2015,8.7,"$12,000,000.00",58044000,19730,489.2208085438
DeMarre Carroll,ATL,70,2189,2015,7,"$2,442,455.00",58044000,19730,387.6297002216
Dennis Schroder,ATL,77,1516,2015,2.5,"$1,690,680.00",58044000,19730,95.9651421299
Elton Brand,ATL,36,486,2015,0.7,"$2,000,000.00",58044000,19730,8.6111529302
Jeff Teague,ATL,73,2228,2015,7.7,"$8,000,000.00",58044000,19730,426.5005033333
John Jenkins,ATL,24,297,2015,0.9,"$1,312,920.00",58044000,19730,6.7704825001
Kent Bazemore,ATL,75,1324,2015,1.6,"$1,115,243.00",58044000,19730,53.6649253415
Kyle Korver,ATL,75,2418,2015,7.5,"$6,253,521.00",58044000,19730,454.2448046439
Mike Muscala,ATL,40,502,2015,1.9,"$816,482.00",58044000,19730,24.1665299594
Mike Scott,ATL,68,1123,2015,2.7,"$1,115,243.00",58044000,19730,76.8114709818
Paul Millsap,ATL,73,2390,2015,8.3,"$9,500,000.00",58044000,19730,489.2452083741
Pero Antic,ATL,63,1037,2015,1.5,"$1,250,000.00",58044000,19730,39.4013837118
Shelvin Mack,ATL,55,833,2015,1.3,"$1,148,163.00",58044000,19730,27.4322422257
Thabo Sefolosha,ATL,52,976,2015,2.5,"$4,150,000.00",58044000,19730,61.518676828
Alan Anderson,BKN,74,1744,2015,2.7,"$1,063,384.00",58044000,19930,118.0938175609
Andrei Kirilenko,BKN,7,36,2015,0,"$3,326,235.00",58044000,19930,0
Bojan Bogdanovic,BKN,78,1854,2015,2.4,"$3,278,000.00",58044000,19930,111.2746772184
Brook Lopez,BKN,72,2100,2015,7,"$15,719,063.00",58044000,19930,341.7437937449
Cory Jefferson,BKN,50,531,2015,0.8,"$507,336.00",58044000,19930,10.6564863654
Darius Morris,BKN,38,299,2015,-0.4,"$702,756.00",58044000,19930,-3.0000619226
Deron Williams,BKN,68,2114,2015,3.6,"$19,754,465.00",58044000,19930,168.8132934986
Earl Clark,BKN,10,93,2015,-0.1,"$4,250,000.00",58044000,19930,-0.2320657477
Jarrett Jack,BKN,80,2241,2015,2.6,"$6,300,000.00",58044000,19930,144.454573774
Jerome Jordan,BKN,44,383,2015,1.2,"$915,243.00",58044000,19930,11.5274894238
Joe Johnson,BKN,80,2791,2015,4.1,"$23,180,790.00",58044000,19930,241.2946545844
Markel Brown,BKN,47,781,2015,0.5,"$507,336.00",58044000,19930,9.7960403147
Mason Plumlee,BKN,82,1743,2015,4.8,"$1,357,080.00",58044000,19930,209.779895775
Mirza Teletovic,BKN,40,892,2015,0.5,"$3,368,100.00",58044000,19930,11.1514871027
Sergey Karasev,BKN,33,555,2015,0.7,"$1,533,840.00",58044000,19930,9.7398070326
Avery Bradley,BOS,77,2428,2015,2.5,"$3,581,302.00",58044000,19880,152.0848174768
Brandon Bass,BOS,82,1929,2015,5.3,"$6,900,000.00",58044000,19880,253.5016439395
Evan Turner,BOS,82,2260,2015,2.5,"$8,717,226.00",58044000,19880,138.8974977454
Gerald Wallace,BOS,32,286,2015,0.1,"$10,105,855.00",58044000,19880,0.6975111452
James Young,BOS,31,332,2015,0.3,"$1,674,480.00",58044000,19880,2.5029454107
Jared Sullinger,BOS,58,1566,2015,4,"$1,424,520.00",58044000,19880,157.4503800213
Kelly Olynyk,BOS,64,1423,2015,3.6,"$2,075,760.00",58044000,19880,128.6782798157
Marcus Smart,BOS,67,1808,2015,2.9,"$3,283,320.00",58044000,19880,131.4492765728
Phil Pressey,BOS,50,600,2015,0.8,"$816,482.00",58044000,19880,12.0700458427
