Team,Season,avg(SVR)
ATL,1991,210.4764213
ATL,1992,125.4944627
ATL,1993,172.7976892
ATL,1994,224.3430994
ATL,1995,159.8542373
ATL,1996,184.5304207
ATL,1997,248.9829869
ATL,1998,216.8033245
ATL,1999,131.5316817
ATL,2000,110.4783726
ATL,2001,62.02263812
ATL,2002,99.99264377
ATL,2003,107.7012685
ATL,2004,74.94612952
ATL,2005,42.13766016
ATL,2006,138.8597571
ATL,2007,76.85530676
ATL,2008,143.5154645
ATL,2009,169.0885139
ATL,2010,249.7442293
ATL,2011,128.5302757
ATL,2012,128.2195095
ATL,2013,114.9491778
ATL,2014,166.7821075
ATL,2015,188.6559308
BKN,1991,102.6317099
BKN,1992,179.1893941
BKN,1993,157.7997704
BKN,1994,160.8106987
BKN,1995,122.3686617
BKN,1996,97.47441216
BKN,1997,84.3416886
BKN,1998,156.7773839
BKN,1999,42.11556103
BKN,2000,144.2946321
BKN,2001,86.21056726
BKN,2002,211.7182096
BKN,2003,222.0174463
BKN,2004,166.2449231
BKN,2005,82.63651561
BKN,2006,177.1363934
BKN,2007,144.9129113
BKN,2008,81.80872697
BKN,2009,140.5877959
BKN,2010,65.07479662
BKN,2011,68.17314013
BKN,2012,48.07325428
BKN,2013,148.3328953
BKN,2014,119.8284145
BKN,2015,92.33959258
BOS,1991,230.391605
BOS,1992,150.7834075
BOS,1993,159.036187
BOS,1994,131.3033062
BOS,1995,119.0702163
BOS,1996,113.0155396
BOS,1997,93.04566
BOS,1998,93.6315049
BOS,1999,69.51569504
BOS,2000,137.2093363
BOS,2001,131.249899
BOS,2002,168.2471772
BOS,2003,136.1360998
BOS,2004,98.81109295
BOS,2005,149.2583772
BOS,2006,105.3882003
BOS,2007,102.4285089
BOS,2008,245.7278462
BOS,2009,201.3965641
BOS,2010,147.0279054
BOS,2011,136.1184369
BOS,2012,114.3095648
BOS,2013,104.0696761
BOS,2014,85.75481248
BOS,2015,126.0073992
CHA,1991,92.98970841
CHA,1992,162.6778998
CHA,1993,163.6952391
CHA,1994,103.1226642
CHA,1995,199.9925148
CHA,1996,127.4642282
CHA,1997,181.133466
CHA,1998,194.8915489
CHA,1999,109.6295624
CHA,2000,177.3814936
CHA,2001,201.1574349
CHA,2002,162.7153764
CHA,2005,75.87554771
CHA,2006,89.26949311
CHA,2007,88.40774148
CHA,2008,123.0350413
CHA,2009,91.90900922
CHA,2010,131.1437665
CHA,2011,82.5035043
CHA,2012,17.06430605
CHA,2013,56.53392368
CHA,2014,164.4013212
CHA,2015,116.9562973
CHI,1991,327.7420741
CHI,1992,255.5674813
CHI,1993,224.974025
CHI,1994,183.2545251
CHI,1995,176.3382418
CHI,1996,285.4227861
CHI,1997,136.2329434
CHI,1998,89.39573281
CHI,1999,39.97773442
CHI,2000,43.55043841
CHI,2001,71.98575995
CHI,2002,33.02864418
CHI,2003,72.10162402
CHI,2004,61.22718401
CHI,2005,153.6864402
CHI,2006,140.0993705
CHI,2007,232.915969
CHI,2008,77.74619173
CHI,2009,101.3894842
CHI,2010,118.1642394
CHI,2011,221.1100989
CHI,2012,166.3344462
CHI,2013,185.1047633
CHI,2014,205.392233
CHI,2015,202.4040219
CLE,1991,135.0271522
CLE,1992,191.1345188
CLE,1993,251.2728789
CLE,1994,162.1562434
CLE,1995,175.5449893
CLE,1996,228.2481369
CLE,1997,261.0507364
CLE,1998,183.0890435
CLE,1999,70.06011122
CLE,2000,84.4983571
CLE,2001,92.86839462
CLE,2002,134.0881176
CLE,2003,73.88491963
CLE,2004,93.9472803
CLE,2005,177.7398836
CLE,2006,170.1551469
CLE,2007,190.3398061
CLE,2008,96.12296284
CLE,2009,235.2058917
CLE,2010,181.2507986
CLE,2011,44.48707559
CLE,2012,45.82390439
CLE,2013,67.60364049
CLE,2014,129.5464063
CLE,2015,195.6845022
DAL,1991,129.6135797
DAL,1992,71.2195921
DAL,1993,16.13862217
DAL,1994,47.91169637
DAL,1995,128.0828946
DAL,1996,92.38752353
DAL,1997,37.20468498
DAL,1998,89.21495551
DAL,1999,84.47965911
DAL,2000,143.6253598
DAL,2001,164.4415308
DAL,2002,142.7285553
DAL,2003,216.0400237
DAL,2004,226.9759492
DAL,2005,184.5815655
DAL,2006,199.1843683
DAL,2007,233.2943264
DAL,2008,136.6931025
DAL,2009,181.427348
DAL,2010,143.1341063
DAL,2011,142.1791619
DAL,2012,115.8587894
DAL,2013,86.97734501
DAL,2014,158.7545468
DAL,2015,178.8540147
DEN,1991,57.37633534
DEN,1992,91.24040048
DEN,1993,161.4428044
DEN,1994,197.6438995
DEN,1995,163.5089808
DEN,1996,172.5401708
DEN,1997,73.59769172
DEN,1998,44.84944275
DEN,1999,72.27842818
DEN,2000,108.4090472
DEN,2001,127.659115
DEN,2002,45.08226043
DEN,2003,39.75810937
DEN,2004,165.3302203
DEN,2005,140.729618
DEN,2006,112.0312627
DEN,2007,120.5218803
DEN,2008,175.4581912
DEN,2009,162.8138748
DEN,2010,211.3127661
DEN,2011,124.4624446
DEN,2012,108.6973077
DEN,2013,182.8429025
DEN,2014,131.7000546
DEN,2015,103.72983
DET,1991,224.2213739
DET,1992,232.2343638
DET,1993,157.3386086
DET,1994,69.05068133
DET,1995,85.62689894
DET,1996,223.2842489
DET,1997,212.5676585
DET,1998,152.4738659
DET,1999,120.8293681
DET,2000,182.3914899
DET,2001,113.4379426
DET,2002,180.0651714
DET,2003,203.5658028
DET,2004,188.4060356
DET,2005,214.4747077
