
RowNumber,Team,Opponent,Date,PlayerName,Minutes,Points,DistanceTraveled,Touches,SecondaryAssists,ReboundChances,ReboundPercentage,CatchShootAttempts,CatchShootMakes,CatchShootPercentage,TotalRebounds
1,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Sam Thompson,40,7,2.63,50,0,14,50.00,1,3,33.30,7
2,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,D'Angelo Russell,31,17,2.15,74,0,11,54.50,0,2,0.00,6
3,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Marc Loving,26,13,1.81,46,0,15,40.00,2,3,66.70,6
4,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Amir Williams,22,6,1.20,17,0,11,45.50,0,0,NULL,5
5,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Shannon Scott,22,3,1.57,46,0,6,50.00,0,0,NULL,3
6,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Jae'Sean Tate,23,2,1.51,25,1,12,58.30,0,0,NULL,7
7,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Kam Williams,17,7,1.27,9,0,4,25.00,1,1,100.00,1
8,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Anthony Lee,10,0,0.53,8,0,8,50.00,0,0,NULL,4
9,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Trey McDonald,8,0,0.46,4,0,4,NULL,0,0,NULL,0
10,OhioStateBuckeyes,LouisvilleCardinals,2014-12-02,Keita Bates-Diop,1,0,0.06,0,0,0,NULL,0,0,NULL,0
11,LouisvilleCardinals,OhioStateBuckeyes,2014-12-02,Wayne Blackshear,38,22,2.60,56,0,14,42.90,4,6,66.70,6
12,LouisvilleCardinals,OhioStateBuckeyes,2014-12-02,Terry Rozier,35,11,2.45,103,2,12,58.30,2,6,33.30,7
13,LouisvilleCardinals,OhioStateBuckeyes,2014-12-02,Montrezl Harrell,34,13,2.34,74,0,17,58.80,1,3,33.30,10
14,LouisvilleCardinals,OhioStateBuckeyes,2014-12-02,Chris Jones,33,10,2.37,90,0,9,55.60,1,2,50.00,5
